"","states2","states3","states4"
"1",1,1,1
"2",2,2,1
"3",2,2,1
"4",2,2,1
"5",2,2,1
"6",2,2,1
"7",2,2,4
"8",2,2,4
"9",2,2,4
"10",2,2,4
"11",2,2,4
"12",1,1,3
"13",1,1,3
"14",1,1,4
"15",1,1,4
"16",1,1,4
"17",1,1,4
"18",1,1,4
"19",1,1,4
"20",1,1,4
"21",1,1,3
"22",1,1,3
"23",1,1,3
"24",1,1,4
"25",1,1,4
"26",1,1,4
"27",1,1,3
"28",1,1,3
"29",1,1,3
"30",2,2,4
"31",2,2,4
"32",2,2,4
"33",2,2,1
"34",2,2,1
"35",2,2,4
"36",1,1,3
"37",1,1,3
"38",1,1,3
"39",1,1,4
"40",1,1,4
"41",1,1,4
"42",2,2,4
"43",2,2,4
"44",2,2,4
"45",2,2,4
"46",2,2,4
"47",2,1,3
"48",2,1,4
"49",2,2,4
"50",2,2,4
"51",2,2,4
"52",2,2,4
"53",2,2,4
"54",1,1,3
"55",1,1,3
"56",1,1,3
"57",1,1,3
"58",1,1,3
"59",1,1,3
"60",1,1,3
"61",1,1,4
"62",1,1,4
"63",1,1,4
"64",1,1,3
"65",1,1,3
"66",1,1,3
"67",2,2,4
"68",2,2,4
"69",2,2,4
"70",2,2,1
"71",2,2,1
"72",2,2,1
"73",2,2,1
"74",2,2,1
"75",2,2,1
"76",2,2,1
"77",2,2,1
"78",2,2,4
"79",2,2,4
"80",2,2,4
"81",1,1,3
"82",1,3,2
"83",1,3,2
"84",1,3,2
"85",1,3,2
"86",1,1,4
"87",1,1,4
"88",1,1,4
"89",1,1,3
"90",1,1,3
"91",1,1,3
"92",1,1,3
"93",1,1,3
"94",1,1,3
"95",1,1,3
"96",1,1,3
"97",1,1,3
"98",1,1,3
"99",1,1,4
"100",1,1,4
"101",1,1,3
"102",1,1,3
"103",1,1,3
"104",1,1,3
"105",1,1,3
"106",1,1,3
"107",1,1,3
"108",1,1,3
"109",1,1,3
"110",1,1,3
"111",1,1,3
"112",1,1,3
"113",1,1,3
"114",1,1,3
"115",1,1,3
"116",1,1,4
"117",1,1,4
"118",1,1,3
"119",1,1,3
"120",1,1,3
"121",1,1,3
"122",1,1,3
"123",1,1,3
"124",1,1,3
"125",1,1,3
"126",1,1,3
"127",1,1,3
"128",1,1,3
"129",1,1,3
"130",1,1,3
"131",1,1,3
"132",1,1,3
"133",1,1,3
"134",1,1,3
"135",1,1,3
"136",1,1,3
"137",1,1,3
"138",1,1,3
"139",1,1,3
"140",1,1,3
"141",1,1,3
"142",1,1,3
"143",1,1,3
"144",1,1,3
"145",1,1,3
"146",1,1,3
"147",1,1,3
"148",1,1,3
"149",2,2,4
"150",2,2,4
"151",2,2,4
"152",2,1,3
"153",2,1,3
"154",2,2,4
"155",2,2,1
"156",2,2,1
"157",2,2,1
"158",2,2,1
"159",2,2,4
"160",1,1,3
"161",1,1,3
"162",1,1,3
"163",1,1,3
"164",1,1,3
"165",1,1,3
"166",1,1,3
"167",1,1,3
"168",1,1,3
"169",1,1,3
"170",2,2,4
"171",2,2,4
"172",2,2,4
"173",2,2,4
"174",1,1,3
"175",1,1,3
"176",1,1,3
"177",1,1,3
"178",1,1,3
"179",1,1,3
"180",1,1,3
"181",1,1,4
"182",1,1,3
"183",1,1,3
"184",1,1,3
"185",1,1,3
"186",1,1,3
"187",1,1,3
"188",1,1,3
"189",1,1,3
"190",2,1,4
"191",2,2,4
"192",2,2,4
"193",2,2,4
"194",2,1,4
"195",2,1,4
"196",2,1,4
"197",1,1,3
"198",1,1,3
"199",1,1,3
"200",1,1,4
"201",1,1,4
"202",1,1,4
"203",1,1,3
"204",1,1,3
"205",1,1,3
"206",1,1,3
"207",1,1,3
"208",1,1,3
"209",1,1,3
"210",1,1,3
"211",1,1,3
"212",1,1,3
"213",1,1,3
"214",1,1,3
"215",1,1,3
"216",1,1,3
"217",1,1,3
"218",1,1,3
"219",1,1,3
"220",1,1,3
"221",1,1,3
"222",1,1,3
"223",1,1,3
"224",1,1,3
"225",1,1,3
"226",1,1,3
"227",1,1,3
"228",1,1,3
"229",1,1,3
"230",1,1,3
"231",1,1,3
"232",1,1,4
"233",1,1,4
"234",1,1,4
"235",1,1,4
"236",1,1,4
"237",1,1,3
"238",1,1,3
"239",1,1,4
"240",2,2,4
"241",2,2,4
"242",2,2,4
"243",2,2,1
"244",1,1,4
"245",1,1,4
"246",1,1,3
"247",1,1,3
"248",1,1,3
"249",2,2,4
"250",2,2,4
"251",2,2,4
"252",2,2,4
"253",2,2,1
"254",2,2,1
"255",2,2,4
"256",1,1,4
"257",1,1,3
"258",1,1,3
"259",1,1,3
"260",1,1,4
"261",1,1,4
"262",1,1,4
"263",1,1,4
"264",1,1,3
"265",1,1,3
"266",1,1,3
"267",1,1,3
"268",1,1,3
"269",1,1,3
"270",1,1,3
"271",1,1,3
"272",1,1,3
"273",1,1,3
"274",1,1,3
"275",1,1,3
"276",1,1,3
"277",1,1,3
"278",1,1,3
"279",1,1,3
"280",1,1,3
"281",1,1,4
"282",1,1,4
"283",1,1,4
"284",1,1,4
"285",1,1,4
"286",1,1,3
"287",1,1,4
"288",1,1,4
"289",1,1,3
"290",1,1,3
"291",1,1,3
"292",1,1,3
"293",2,2,4
"294",2,2,1
"295",2,2,1
"296",2,2,1
"297",2,1,4
"298",2,1,4
"299",2,1,4
"300",2,1,4
"301",2,2,4
"302",2,2,4
"303",2,1,4
"304",1,1,4
"305",1,1,4
"306",1,1,4
"307",1,1,4
"308",1,1,3
"309",1,1,3
"310",1,1,3
"311",1,1,4
"312",1,1,4
"313",1,1,4
"314",1,1,4
"315",2,2,4
"316",2,2,4
"317",2,2,1
"318",2,2,4
"319",1,1,3
"320",1,1,3
"321",1,1,3
"322",1,1,3
"323",1,1,3
"324",1,1,3
"325",1,1,3
"326",1,1,3
"327",1,1,3
"328",1,1,3
"329",1,1,3
"330",1,1,4
"331",1,1,4
"332",1,1,4
"333",1,1,4
"334",1,1,4
"335",1,1,4
"336",1,1,3
"337",1,1,3
"338",1,3,3
"339",1,3,3
"340",1,3,3
"341",1,3,3
"342",1,1,3
"343",1,1,3
"344",1,1,3
"345",1,1,3
"346",1,1,4
"347",1,1,4
"348",1,1,4
"349",1,1,3
"350",1,1,3
"351",1,1,3
"352",1,1,3
"353",1,1,3
"354",1,1,3
"355",1,1,3
"356",1,1,3
"357",1,1,3
"358",1,1,3
"359",1,1,4
"360",1,1,4
"361",1,1,4
"362",1,1,3
"363",1,1,3
"364",1,3,2
"365",1,3,2
"366",1,3,2
"367",1,3,2
"368",1,3,2
"369",1,3,2
"370",1,3,2
"371",1,1,4
"372",1,1,4
"373",1,1,3
"374",1,1,4
"375",1,1,4
"376",1,1,4
"377",1,1,4
"378",1,1,3
"379",1,1,3
"380",1,1,3
"381",1,3,2
"382",1,3,2
"383",1,3,2
"384",1,3,2
"385",1,3,2
"386",1,1,2
"387",1,1,4
"388",1,1,4
"389",1,1,4
"390",1,1,3
"391",1,1,3
"392",1,1,3
"393",2,2,4
"394",2,2,4
"395",2,2,4
"396",2,2,1
"397",2,2,1
"398",2,2,1
"399",2,2,1
"400",2,2,1
"401",2,2,1
"402",2,2,1
"403",2,2,4
"404",1,1,3
"405",1,1,3
"406",1,1,3
"407",1,1,4
"408",2,2,4
"409",2,2,4
"410",2,2,4
"411",2,2,4
"412",2,2,4
"413",1,1,3
"414",1,3,2
"415",1,3,2
"416",1,3,2
"417",1,3,2
"418",1,3,2
"419",2,2,4
"420",2,2,4
"421",2,2,4
"422",2,2,4
"423",2,2,4
"424",2,2,4
"425",2,2,4
"426",2,2,4
"427",2,2,4
"428",2,2,4
"429",2,2,4
"430",2,2,4
"431",2,2,4
"432",2,2,1
"433",2,2,1
"434",2,2,1
"435",2,2,4
"436",2,2,4
"437",2,2,4
"438",2,2,4
"439",2,2,4
"440",2,2,1
"441",2,2,1
"442",2,2,1
"443",2,2,1
"444",2,2,1
"445",2,2,1
"446",2,2,1
"447",2,2,1
"448",2,2,1
"449",2,2,1
"450",2,2,4
"451",2,2,4
"452",2,1,4
"453",2,1,4
"454",1,1,3
"455",1,1,3
"456",1,1,3
"457",1,1,3
"458",1,1,3
"459",1,1,3
"460",1,1,4
"461",2,2,1
"462",2,2,1
"463",2,2,1
"464",2,2,1
"465",2,2,1
"466",2,2,1
"467",2,2,4
"468",2,2,4
"469",2,2,4
"470",2,2,4
"471",2,2,1
"472",2,2,1
"473",2,2,4
"474",1,1,3
"475",1,1,3
"476",1,1,3
"477",1,1,4
"478",1,1,4
"479",1,2,1
"480",1,2,4
"481",1,1,3
"482",1,1,3
"483",1,1,3
"484",1,1,3
"485",1,1,3
"486",1,1,3
"487",1,1,3
"488",1,1,3
"489",1,1,3
"490",1,1,3
"491",1,1,4
"492",1,1,4
"493",1,1,4
"494",1,1,3
"495",1,1,3
"496",1,1,4
"497",1,1,4
"498",1,1,4
"499",1,1,3
"500",1,1,4
"501",1,1,3
"502",1,1,3
"503",1,1,3
"504",1,1,3
"505",1,1,3
"506",1,1,3
"507",1,1,3
"508",1,1,4
"509",1,1,4
"510",1,1,3
"511",1,1,3
"512",1,1,4
"513",1,1,4
"514",1,1,3
"515",1,1,3
"516",1,1,3
"517",1,1,4
"518",1,1,4
"519",1,1,3
"520",1,1,3
"521",1,1,3
"522",1,1,3
"523",1,1,3
"524",1,1,3
"525",1,1,3
"526",2,2,4
"527",2,2,4
"528",2,2,4
"529",2,2,4
"530",1,1,3
"531",1,1,3
"532",1,1,3
"533",1,1,3
"534",1,1,3
"535",1,1,4
"536",1,1,4
"537",1,1,3
"538",1,1,3
"539",1,1,3
"540",1,1,3
"541",1,1,3
"542",1,1,3
"543",1,1,3
"544",1,1,3
"545",1,1,3
"546",1,1,3
"547",1,1,3
"548",1,1,3
"549",1,1,3
"550",1,1,3
"551",1,1,3
"552",1,1,3
"553",1,1,3
"554",1,1,3
"555",2,2,4
"556",2,2,4
"557",2,2,1
"558",2,1,4
"559",2,1,4
"560",2,2,1
"561",2,2,4
"562",1,1,4
"563",1,1,3
"564",1,1,3
"565",1,1,3
"566",1,1,3
"567",1,1,3
"568",1,1,3
"569",1,1,4
"570",1,1,4
"571",1,1,3
"572",1,1,3
"573",1,2,4
"574",1,2,4
"575",1,2,4
"576",1,1,4
"577",1,1,4
"578",1,1,4
"579",1,1,3
"580",1,1,3
"581",1,1,3
"582",1,1,3
"583",1,1,3
"584",1,1,3
"585",2,2,4
"586",2,2,4
"587",2,2,4
"588",1,1,3
"589",1,1,3
"590",1,1,3
"591",1,1,3
"592",1,1,3
"593",1,1,4
"594",1,1,4
"595",1,1,3
"596",1,1,4
"597",1,1,4
"598",1,1,4
"599",1,1,4
"600",1,1,3
"601",1,1,3
"602",1,1,3
"603",1,1,3
"604",1,1,3
"605",1,1,4
"606",1,1,4
"607",1,1,4
"608",1,1,3
"609",1,1,3
"610",1,1,3
"611",1,1,3
"612",1,1,3
"613",1,1,3
"614",1,1,3
"615",1,1,3
"616",1,1,3
"617",1,1,4
"618",1,1,4
"619",1,1,3
"620",1,1,3
"621",1,1,3
"622",1,1,3
"623",1,1,3
"624",1,1,4
"625",1,1,3
"626",1,1,3
"627",2,2,4
"628",2,2,4
"629",2,2,1
"630",2,2,1
"631",2,2,4
"632",2,2,4
"633",2,2,4
"634",2,2,1
"635",2,2,4
"636",2,2,4
"637",2,2,4
"638",2,2,4
"639",2,2,4
"640",2,2,4
"641",2,2,4
"642",2,2,4
"643",2,2,1
"644",2,2,1
"645",2,2,1
"646",2,2,1
"647",2,2,4
"648",2,2,4
"649",2,2,4
"650",1,1,3
"651",1,1,3
"652",1,1,3
"653",1,1,3
"654",1,1,4
"655",1,1,4
"656",1,1,4
"657",1,1,4
"658",1,1,3
"659",1,1,3
"660",1,1,3
"661",1,1,3
"662",1,1,3
"663",1,1,3
"664",1,1,3
"665",1,1,3
"666",1,1,3
"667",1,1,3
"668",1,1,3
"669",1,1,3
"670",1,1,3
"671",1,1,3
"672",1,1,3
"673",1,1,3
"674",1,1,3
"675",2,2,1
"676",2,2,1
"677",2,2,4
"678",2,2,4
"679",2,1,3
"680",2,1,3
"681",2,1,4
"682",2,2,1
"683",2,2,4
"684",2,2,4
"685",2,2,4
"686",2,1,4
"687",1,1,3
"688",1,1,3
"689",1,1,3
"690",1,1,3
"691",1,1,3
"692",1,1,3
"693",1,1,4
"694",1,1,4
"695",1,1,3
"696",1,1,3
"697",1,1,4
"698",1,1,4
"699",1,1,3
"700",1,1,3
"701",1,1,3
"702",1,1,4
"703",1,1,4
"704",1,1,3
"705",1,1,3
"706",2,2,4
"707",2,2,1
"708",2,2,1
"709",1,1,4
"710",1,1,4
"711",1,1,3
"712",1,1,3
"713",1,1,3
"714",1,1,3
"715",1,1,3
"716",1,1,3
"717",1,1,4
"718",2,2,4
"719",2,2,4
"720",2,2,4
"721",2,2,4
