"","states2","states3","states4"
"1",1,1,1
"2",1,1,1
"3",1,1,1
"4",1,1,1
"5",1,1,1
"6",1,2,1
"7",1,2,1
"8",1,2,1
"9",1,2,1
"10",1,2,1
"11",2,3,2
"12",2,3,2
"13",2,3,2
"14",2,3,2
"15",2,2,1
"16",2,2,1
"17",2,2,1
"18",2,2,1
"19",2,2,2
"20",2,3,4
"21",2,3,4
"22",2,3,4
"23",2,3,4
"24",2,3,4
"25",2,3,4
"26",2,3,4
"27",2,3,4
"28",2,3,4
"29",2,3,4
"30",2,3,2
"31",2,3,2
"32",2,2,2
"33",1,2,1
"34",1,2,1
"35",1,2,1
"36",1,2,2
"37",1,2,2
"38",1,2,2
"39",1,2,1
"40",1,2,1
"41",1,2,1
"42",1,2,1
"43",1,2,1
"44",1,2,1
"45",1,2,1
"46",1,2,1
"47",1,2,1
"48",1,2,1
"49",1,2,1
"50",1,2,1
"51",1,2,1
"52",1,2,1
"53",1,2,1
"54",2,2,2
"55",2,2,2
"56",2,2,2
"57",2,2,2
"58",2,2,2
"59",2,3,2
"60",2,3,2
"61",2,3,2
"62",2,3,2
"63",2,3,2
"64",2,2,2
"65",2,2,2
"66",2,2,2
"67",1,2,1
"68",1,2,1
"69",1,2,1
"70",1,1,3
"71",1,1,3
"72",1,1,3
"73",1,1,3
"74",1,1,3
"75",1,1,3
"76",1,1,3
"77",1,2,1
"78",1,2,1
"79",2,3,2
"80",2,3,4
"81",2,3,4
"82",2,3,4
"83",2,3,4
"84",2,3,4
"85",2,3,4
"86",2,3,2
"87",1,2,1
"88",1,1,1
"89",1,1,1
"90",1,1,1
"91",1,2,1
"92",1,2,1
"93",1,2,1
"94",1,2,1
"95",1,2,1
"96",1,1,3
"97",1,1,3
"98",1,1,3
"99",1,2,1
"100",1,2,1
"101",1,2,1
"102",1,2,1
"103",1,2,1
"104",1,2,1
"105",1,2,1
"106",1,2,1
"107",1,2,1
"108",2,2,2
"109",2,2,2
"110",2,2,2
"111",2,2,2
"112",2,3,2
"113",2,3,2
"114",2,3,2
"115",2,3,4
"116",2,3,4
"117",2,3,4
"118",2,3,4
"119",2,3,4
"120",2,3,4
"121",2,3,4
"122",2,3,2
"123",2,3,2
"124",2,3,2
"125",2,3,2
"126",2,3,2
"127",2,3,2
"128",2,3,2
"129",2,3,2
"130",2,3,2
"131",2,2,1
"132",2,2,1
"133",1,2,1
"134",1,2,1
"135",1,2,1
"136",1,2,1
"137",1,2,1
"138",2,2,2
"139",2,2,2
"140",2,3,2
"141",2,3,2
"142",2,3,2
"143",2,3,2
"144",2,3,2
"145",2,3,2
"146",2,3,2
"147",2,3,2
"148",2,3,2
"149",2,3,2
"150",2,3,2
"151",2,2,1
"152",2,2,1
"153",2,3,2
"154",2,3,2
"155",1,2,1
"156",1,1,3
"157",1,1,3
"158",1,1,3
"159",1,1,3
"160",1,1,1
"161",2,2,1
"162",2,3,2
"163",2,3,2
"164",2,3,2
"165",2,3,2
"166",1,2,1
"167",1,2,1
"168",1,2,1
"169",1,2,1
"170",1,2,1
"171",1,1,3
"172",1,1,3
"173",1,1,3
"174",1,1,3
"175",1,1,3
"176",1,1,3
"177",1,1,3
"178",1,1,3
"179",1,1,3
"180",1,2,1
"181",1,2,1
"182",2,3,2
"183",2,3,2
"184",2,3,2
"185",2,3,2
"186",2,3,4
"187",2,3,4
"188",2,3,2
"189",2,3,2
"190",2,3,2
"191",2,3,4
"192",2,3,4
"193",2,3,2
"194",1,2,1
"195",1,2,1
"196",1,2,1
"197",1,1,1
"198",1,1,1
"199",2,2,2
"200",2,3,2
"201",2,3,4
"202",2,3,4
"203",2,3,4
"204",2,3,4
"205",2,3,4
"206",2,3,2
"207",2,3,2
"208",2,3,2
"209",1,2,1
"210",1,2,1
"211",1,1,1
"212",1,1,1
"213",1,1,1
"214",1,2,2
"215",1,2,2
"216",1,2,2
"217",1,1,3
"218",1,1,3
"219",1,1,3
"220",1,1,3
"221",1,1,3
"222",1,1,3
"223",1,1,3
"224",1,1,3
"225",1,1,3
"226",1,1,3
"227",1,1,3
"228",1,2,1
"229",2,3,2
"230",2,3,2
"231",2,3,2
