"","states2","states3","states4"
"1",1,1,1
"2",1,1,1
"3",1,1,1
"4",1,1,1
"5",1,1,2
"6",2,2,4
"7",2,2,4
"8",1,1,1
"9",1,1,1
"10",1,1,2
"11",2,2,4
"12",2,2,4
"13",2,2,4
"14",1,1,1
"15",1,1,1
"16",1,1,2
"17",2,1,2
"18",2,1,2
"19",2,2,4
"20",2,2,4
"21",2,1,1
"22",2,2,2
"23",2,2,4
"24",2,2,4
"25",2,2,4
"26",2,2,4
"27",2,2,4
"28",2,2,4
"29",2,2,4
"30",2,2,4
"31",1,1,1
"32",1,1,1
"33",2,1,2
"34",2,2,4
"35",2,2,4
"36",2,2,4
"37",2,2,4
"38",2,2,4
"39",1,1,1
"40",1,1,1
"41",1,1,1
"42",1,1,1
"43",1,1,1
"44",1,1,1
"45",1,1,2
"46",2,2,4
"47",2,2,4
"48",1,1,1
"49",1,1,1
"50",1,1,1
"51",1,1,1
"52",2,2,2
"53",2,2,4
"54",2,2,4
"55",2,2,4
"56",1,1,1
"57",1,1,1
"58",2,2,4
"59",2,2,4
"60",2,2,4
"61",2,2,4
"62",2,2,4
"63",2,2,4
"64",1,1,1
"65",1,1,1
"66",1,1,1
"67",1,1,2
"68",2,2,4
"69",2,2,4
"70",1,1,1
"71",1,1,1
"72",1,1,1
"73",1,1,1
"74",1,1,1
"75",1,1,2
"76",2,3,2
"77",2,3,3
"78",2,3,3
"79",2,3,3
"80",2,3,3
"81",2,3,3
"82",2,3,3
"83",2,3,3
"84",2,3,3
"85",2,3,3
"86",2,3,3
"87",2,3,3
"88",2,3,3
"89",2,3,3
"90",2,3,3
"91",2,3,3
"92",2,3,3
"93",2,3,3
"94",2,3,3
"95",1,1,2
"96",1,1,2
"97",1,1,2
"98",2,3,2
"99",2,3,2
"100",2,3,2
"101",2,3,2
"102",2,3,3
"103",2,3,3
"104",2,3,3
"105",2,3,3
"106",2,3,3
"107",2,3,3
"108",2,3,3
"109",2,3,3
"110",2,3,3
"111",2,3,3
"112",2,3,3
"113",2,3,3
"114",2,3,3
"115",2,3,3
"116",2,3,3
"117",2,3,3
"118",2,3,3
"119",2,3,3
"120",2,3,3
"121",2,3,3
"122",2,3,3
"123",2,3,3
"124",2,3,3
"125",2,3,3
"126",2,3,3
"127",2,3,3
"128",2,3,3
"129",2,3,3
"130",2,3,3
"131",2,3,3
"132",2,3,3
"133",1,1,1
"134",1,1,1
"135",1,1,1
"136",1,1,1
"137",1,1,1
"138",1,1,1
"139",1,1,2
"140",2,3,3
"141",2,3,3
"142",2,3,3
"143",2,3,3
"144",2,3,3
"145",2,3,2
"146",2,3,2
"147",2,3,3
"148",2,3,3
"149",2,3,3
"150",2,3,3
"151",2,3,3
"152",2,3,3
"153",2,3,2
"154",2,3,2
"155",2,3,2
"156",2,3,2
"157",1,1,2
"158",1,1,2
"159",1,1,2
"160",1,1,2
"161",1,1,1
"162",1,1,1
"163",1,1,1
"164",1,1,1
"165",1,1,1
"166",1,1,1
"167",1,1,2
"168",2,3,3
"169",2,3,3
"170",2,3,3
"171",2,3,2
"172",1,1,2
"173",1,1,2
"174",1,1,2
"175",1,1,2
"176",1,1,2
"177",1,1,1
"178",1,1,1
"179",1,1,1
"180",1,1,1
"181",1,1,2
"182",2,3,3
"183",2,3,3
"184",2,3,3
"185",2,3,3
"186",2,3,3
"187",2,3,3
"188",2,3,3
"189",2,3,3
"190",2,3,3
"191",2,3,3
"192",2,3,3
"193",2,3,3
"194",2,3,3
"195",2,3,3
"196",2,3,3
"197",2,3,3
"198",2,3,2
"199",2,3,2
"200",2,3,3
"201",2,3,3
"202",2,3,3
"203",2,3,3
"204",2,3,3
"205",2,3,3
"206",2,3,3
"207",2,3,3
"208",2,3,3
"209",2,3,3
"210",2,3,3
"211",2,3,3
"212",2,3,3
"213",2,3,2
"214",2,3,2
"215",2,3,2
"216",1,1,2
"217",1,1,2
"218",1,1,1
"219",1,1,1
"220",1,1,1
"221",1,1,2
"222",1,1,2
"223",1,1,2
"224",1,1,2
"225",1,1,2
"226",1,1,2
"227",1,1,2
"228",1,1,2
"229",1,1,2
"230",2,3,2
"231",2,3,2
