"","states2","states3","states4"
"1",1,1,1
"2",1,1,2
"3",1,1,2
"4",2,2,4
"5",2,2,4
"6",2,2,4
"7",2,2,2
"8",2,2,2
"9",2,2,2
"10",2,2,2
"11",1,2,2
"12",1,1,1
"13",1,1,1
"14",1,1,1
"15",2,2,2
"16",2,2,4
"17",2,2,4
"18",2,3,4
"19",2,3,4
"20",2,3,4
"21",2,3,4
"22",2,3,4
"23",2,3,4
"24",2,3,4
"25",2,3,4
"26",2,2,2
"27",2,2,2
"28",2,2,2
"29",2,2,2
"30",2,2,2
"31",2,2,2
"32",2,3,4
"33",2,3,4
"34",2,3,4
"35",2,3,4
"36",2,3,4
"37",2,3,4
"38",2,3,4
"39",2,3,4
"40",2,3,4
"41",2,2,4
"42",2,2,2
"43",2,2,2
"44",2,2,2
"45",2,2,4
"46",2,3,4
"47",2,3,4
"48",2,3,4
"49",2,3,4
"50",2,3,4
"51",2,3,4
"52",2,3,4
"53",2,3,4
"54",2,3,4
"55",2,2,2
"56",2,2,2
"57",2,2,2
"58",2,3,4
"59",2,3,4
"60",2,3,4
"61",2,3,4
"62",2,3,4
"63",2,3,4
"64",2,3,4
"65",2,3,3
"66",2,3,4
"67",2,2,2
"68",2,2,2
"69",2,2,4
"70",2,2,2
"71",2,2,2
"72",2,2,2
"73",2,2,2
"74",2,2,4
"75",2,2,4
"76",2,2,4
"77",2,3,4
"78",2,3,4
"79",2,3,4
"80",2,3,4
"81",2,3,4
"82",2,3,4
"83",2,2,2
"84",2,2,2
"85",2,2,2
"86",2,2,2
"87",2,2,2
"88",2,2,2
"89",1,2,2
"90",1,2,2
"91",1,2,2
"92",1,1,1
"93",1,1,1
"94",1,1,1
"95",1,1,1
"96",1,1,1
"97",1,1,1
"98",1,1,1
"99",1,2,2
"100",2,2,4
"101",2,2,4
"102",2,2,4
"103",2,2,2
"104",1,1,2
"105",1,1,2
"106",1,1,2
"107",1,2,2
"108",1,2,2
"109",2,3,4
"110",2,3,4
"111",2,3,4
"112",2,3,4
"113",2,3,4
"114",2,3,4
"115",1,2,2
"116",1,2,2
"117",1,2,2
"118",1,2,2
"119",1,2,2
"120",1,2,2
"121",1,2,2
"122",1,2,2
"123",1,2,2
"124",1,1,2
"125",1,1,2
"126",1,1,2
"127",1,1,2
"128",1,1,1
"129",1,1,1
"130",1,1,1
"131",1,1,1
"132",1,1,1
"133",1,1,2
"134",1,1,2
"135",1,1,2
"136",1,1,1
"137",1,1,1
"138",1,1,1
"139",1,1,1
"140",1,1,1
"141",1,1,1
"142",1,1,1
"143",1,1,1
"144",1,1,1
"145",1,1,1
"146",1,1,1
"147",1,2,2
"148",1,2,2
"149",1,2,2
"150",2,3,4
"151",2,3,4
"152",2,3,4
"153",2,3,4
"154",2,3,4
"155",2,3,4
"156",2,2,2
"157",1,1,1
"158",1,1,1
"159",1,1,1
"160",1,1,1
"161",1,1,1
"162",1,1,1
"163",1,1,1
"164",1,1,2
"165",1,1,2
"166",1,1,2
"167",1,1,1
"168",1,1,1
"169",1,2,2
"170",2,2,4
"171",2,2,4
"172",2,2,4
"173",2,2,2
"174",2,2,2
"175",2,2,1
"176",2,2,2
"177",2,2,4
"178",2,2,4
"179",2,2,4
"180",2,2,4
"181",2,2,4
"182",2,2,4
"183",2,2,4
"184",2,2,4
"185",2,2,4
"186",2,2,4
"187",1,1,1
"188",1,1,1
"189",1,1,1
"190",1,1,1
"191",1,2,2
"192",1,2,4
"193",1,2,2
"194",1,1,1
"195",1,1,1
"196",1,1,1
"197",1,1,1
"198",1,2,2
"199",2,2,4
"200",2,2,4
"201",2,2,4
"202",2,2,4
"203",2,2,4
"204",2,2,4
"205",2,2,2
"206",2,2,2
"207",2,3,4
"208",2,3,4
"209",2,2,2
"210",2,2,2
"211",2,3,4
"212",2,3,4
"213",2,3,4
"214",2,2,2
"215",2,2,2
"216",2,2,4
"217",2,2,4
"218",1,2,2
"219",1,1,1
"220",1,1,1
"221",2,2,2
"222",2,2,2
"223",2,2,4
"224",2,2,4
"225",2,2,4
"226",2,2,4
"227",2,2,4
"228",2,2,2
"229",2,2,2
"230",1,2,2
"231",1,2,2
"232",1,2,2
"233",1,2,2
"234",1,1,2
"235",1,1,1
"236",1,1,1
"237",1,1,1
"238",1,2,2
"239",1,2,2
"240",1,2,2
"241",1,1,1
"242",1,1,1
"243",1,1,1
"244",1,1,1
"245",1,1,1
"246",1,1,1
"247",1,2,2
"248",1,2,2
"249",1,2,2
"250",1,2,2
"251",1,2,2
"252",1,2,2
"253",1,2,2
"254",1,1,1
"255",1,1,1
"256",1,1,1
"257",1,1,1
"258",1,1,1
"259",1,1,1
"260",1,1,1
"261",1,1,1
"262",1,1,1
"263",1,1,2
"264",1,1,2
"265",1,1,2
"266",2,2,2
"267",2,2,4
"268",2,2,4
"269",1,1,2
"270",1,1,2
"271",1,1,2
"272",1,1,1
"273",1,1,1
"274",1,1,1
"275",2,2,2
"276",2,3,4
"277",2,3,4
"278",2,2,4
"279",2,2,4
"280",2,2,4
"281",2,2,4
"282",2,2,4
"283",2,2,2
"284",2,2,2
"285",2,2,2
"286",1,2,2
"287",1,2,2
"288",1,2,2
"289",1,2,2
"290",1,2,2
"291",1,2,2
"292",1,2,2
"293",2,2,4
"294",2,2,2
"295",2,2,2
"296",2,2,2
"297",1,2,2
"298",1,1,1
"299",1,1,1
"300",1,1,1
"301",1,2,2
"302",2,2,4
"303",2,3,4
"304",2,3,4
"305",2,3,4
"306",2,3,4
"307",2,3,4
"308",2,3,4
"309",2,3,3
"310",2,3,3
"311",2,3,4
"312",2,2,2
"313",2,2,2
"314",2,2,2
"315",2,2,2
"316",2,3,4
"317",2,3,4
"318",2,2,2
"319",2,2,2
"320",2,3,4
"321",2,3,4
"322",2,3,4
"323",2,3,4
"324",2,3,4
"325",2,3,4
"326",2,2,2
"327",1,1,1
"328",1,1,1
"329",1,1,1
"330",1,2,2
"331",2,2,4
"332",2,3,4
"333",2,3,4
"334",2,2,4
"335",1,1,2
"336",1,1,1
"337",1,1,1
"338",1,1,1
"339",1,1,1
"340",1,1,1
"341",1,1,1
"342",1,1,1
"343",1,1,1
"344",1,1,1
"345",2,2,2
"346",2,2,4
"347",2,2,4
"348",2,3,4
"349",2,3,2
"350",2,3,4
"351",2,3,4
"352",2,3,4
"353",2,2,2
"354",2,2,2
"355",2,2,2
"356",2,2,4
"357",2,3,4
"358",2,3,4
"359",2,3,4
"360",2,3,4
"361",2,3,4
"362",2,3,4
"363",1,1,2
"364",1,1,2
"365",1,1,1
"366",1,1,1
"367",1,2,2
"368",2,3,4
"369",2,3,4
"370",2,3,4
"371",2,2,4
"372",2,2,2
"373",2,2,2
"374",2,2,2
"375",1,2,2
"376",1,2,2
"377",1,2,2
"378",1,2,2
"379",1,2,2
"380",1,2,2
"381",1,2,2
"382",1,2,2
"383",1,2,2
"384",1,2,2
"385",1,2,2
"386",1,2,2
"387",1,1,1
"388",1,1,1
"389",1,2,2
"390",1,2,2
"391",1,2,2
"392",1,2,2
"393",2,2,2
"394",2,2,2
"395",2,2,4
"396",2,3,4
"397",2,3,4
"398",2,3,4
"399",2,3,4
"400",2,3,4
"401",2,3,4
"402",2,3,4
"403",2,3,4
"404",1,1,1
"405",1,1,1
"406",1,1,1
"407",1,1,2
"408",2,2,4
"409",2,2,4
"410",2,2,4
"411",2,2,4
"412",2,2,4
"413",2,2,4
"414",2,2,4
"415",1,2,2
"416",1,2,2
"417",1,2,2
"418",1,2,2
"419",1,2,2
"420",1,2,2
"421",1,2,2
"422",1,2,2
"423",1,2,2
"424",2,2,2
"425",2,3,4
"426",2,3,4
"427",2,3,4
"428",2,3,4
"429",2,3,4
"430",2,3,4
"431",2,3,4
"432",2,3,4
"433",2,3,4
"434",2,3,4
"435",2,2,3
"436",2,2,3
"437",2,3,3
"438",2,3,4
"439",2,3,4
"440",1,2,2
"441",1,2,2
"442",1,2,2
"443",1,2,2
"444",1,2,2
"445",1,1,1
"446",1,1,1
"447",1,2,2
"448",2,2,4
"449",2,2,4
"450",1,2,2
"451",1,2,2
"452",1,2,2
"453",1,2,2
"454",1,2,2
"455",1,2,2
"456",1,2,2
"457",2,2,4
"458",2,2,4
"459",2,2,2
"460",2,2,2
"461",2,2,2
"462",2,2,2
"463",2,2,2
"464",2,2,2
"465",2,2,2
"466",1,2,2
"467",1,2,2
"468",1,2,2
"469",1,2,2
"470",1,2,2
"471",2,2,2
"472",2,3,4
"473",2,3,4
"474",2,2,4
"475",2,2,4
"476",2,2,2
"477",1,2,2
"478",1,1,1
"479",1,1,1
"480",1,1,1
"481",1,2,2
"482",1,2,2
"483",1,2,2
"484",1,2,2
"485",1,2,2
"486",1,2,2
"487",1,2,2
"488",1,2,2
"489",1,2,2
"490",1,2,2
"491",1,1,1
"492",1,1,1
"493",1,2,2
"494",1,2,2
"495",1,2,2
"496",1,1,2
"497",1,1,1
"498",1,1,1
"499",1,1,1
"500",1,1,1
"501",1,1,1
"502",1,1,1
"503",1,1,1
"504",1,1,1
"505",1,2,2
"506",1,2,2
"507",1,2,2
"508",1,2,4
"509",1,2,4
"510",1,2,2
"511",1,2,2
"512",1,2,2
"513",1,2,2
"514",1,1,1
"515",1,1,1
"516",1,1,1
"517",1,1,1
"518",1,1,1
"519",1,2,2
"520",1,2,2
"521",2,2,2
"522",2,2,2
"523",2,2,4
"524",2,3,4
"525",2,3,4
"526",2,3,4
"527",2,3,4
"528",2,3,4
"529",2,3,4
"530",2,2,2
"531",2,2,2
"532",2,2,2
"533",2,2,2
"534",1,2,2
"535",1,2,2
"536",1,2,2
"537",1,2,2
"538",1,2,2
"539",1,2,2
"540",1,2,2
"541",1,2,2
"542",2,2,2
"543",2,2,4
"544",2,2,4
"545",2,2,4
"546",2,2,4
"547",2,2,4
"548",2,3,4
"549",2,3,4
"550",2,3,4
"551",2,3,4
"552",2,2,2
"553",2,2,2
"554",2,2,2
"555",2,3,4
"556",2,2,4
"557",1,1,1
"558",1,1,1
"559",1,1,1
"560",2,2,2
"561",2,2,4
"562",2,2,2
"563",2,2,2
"564",2,2,2
"565",2,2,2
"566",1,1,2
"567",1,1,1
"568",1,1,1
"569",1,2,2
"570",2,2,4
"571",2,2,4
"572",2,2,2
"573",1,1,2
"574",1,1,2
"575",1,1,2
"576",2,2,4
"577",2,2,4
"578",2,2,4
"579",2,2,4
"580",2,2,4
"581",2,2,2
"582",2,2,4
"583",2,2,4
"584",1,2,2
"585",1,1,1
"586",1,1,1
"587",1,1,1
"588",1,1,1
"589",1,1,2
"590",1,1,2
"591",1,1,1
"592",1,1,1
"593",1,1,1
"594",1,1,1
"595",1,1,1
"596",1,1,2
"597",1,2,4
"598",1,2,4
"599",1,2,2
"600",1,1,1
"601",1,1,1
"602",1,1,1
"603",1,1,1
"604",1,1,1
"605",1,1,1
"606",1,1,1
"607",1,1,1
"608",1,1,2
"609",1,1,2
"610",1,1,2
"611",1,1,2
"612",1,2,2
"613",1,2,2
"614",1,2,2
"615",1,1,1
"616",1,1,1
"617",1,1,1
"618",1,1,1
"619",1,1,1
"620",1,1,1
"621",1,1,1
"622",1,1,1
"623",1,1,1
"624",1,1,1
"625",1,2,2
"626",1,2,2
"627",1,2,2
"628",1,2,2
"629",1,2,2
"630",1,2,2
"631",1,2,2
"632",1,2,2
"633",1,1,2
"634",1,1,2
"635",1,1,2
"636",1,1,2
"637",1,1,2
"638",1,1,2
"639",1,1,1
"640",1,1,1
"641",1,1,1
"642",1,2,2
"643",1,2,2
"644",1,2,2
"645",1,2,2
"646",1,2,2
"647",1,2,2
"648",1,2,2
"649",1,2,2
"650",1,1,2
"651",1,1,2
"652",1,1,2
"653",1,1,1
"654",1,1,1
"655",1,1,1
"656",1,1,1
"657",1,1,1
"658",1,1,1
"659",1,1,1
"660",1,2,2
"661",2,2,2
"662",2,3,4
"663",2,3,4
"664",2,2,2
"665",2,2,2
"666",2,2,2
"667",2,2,2
"668",2,2,2
"669",2,2,2
"670",2,2,4
"671",2,2,4
"672",2,2,4
"673",2,2,2
"674",1,1,1
"675",1,1,1
"676",1,1,1
"677",1,1,1
"678",1,2,2
"679",2,3,4
"680",2,3,4
"681",2,3,4
"682",2,3,4
"683",2,3,4
"684",2,3,4
"685",2,3,4
"686",2,2,2
"687",2,2,2
"688",2,2,2
"689",2,2,2
"690",2,2,4
"691",2,2,4
"692",2,2,4
"693",1,2,2
"694",1,2,2
"695",1,2,2
"696",1,2,2
"697",1,2,2
"698",1,2,2
"699",1,2,2
"700",1,2,2
"701",1,2,2
"702",1,2,2
"703",1,2,2
"704",1,2,2
"705",1,2,2
"706",1,2,2
"707",1,1,2
"708",1,1,2
"709",1,1,2
"710",1,1,2
"711",1,1,2
"712",1,1,1
"713",1,1,1
"714",1,1,1
"715",2,2,2
"716",2,2,4
"717",2,2,4
"718",2,2,4
"719",2,2,2
"720",2,2,2
"721",1,1,1
"722",1,2,2
"723",1,2,2
"724",1,2,2
"725",1,2,2
"726",2,2,4
"727",2,2,4
"728",2,2,4
"729",2,2,4
"730",2,2,4
"731",2,2,4
"732",2,2,2
"733",2,2,2
"734",2,2,4
"735",2,2,4
"736",2,3,4
"737",2,3,4
"738",2,3,4
"739",2,3,4
"740",2,3,4
"741",2,3,4
"742",2,3,2
"743",2,3,4
"744",2,3,4
"745",2,2,2
"746",2,2,2
"747",2,3,4
"748",2,3,4
"749",2,3,4
"750",2,3,4
"751",2,3,4
"752",2,3,4
"753",2,3,4
"754",2,3,4
"755",2,3,4
