"","states2","states3","states4"
"1",1,1,1
"2",1,1,1
"3",1,1,1
"4",1,1,1
"5",1,2,4
"6",1,2,4
"7",1,2,4
"8",1,2,4
"9",1,1,1
"10",1,1,1
"11",1,1,1
"12",1,1,4
"13",1,1,4
"14",2,3,2
"15",2,3,2
"16",2,2,4
"17",2,2,3
"18",2,2,3
"19",2,2,3
"20",2,2,4
"21",2,2,3
"22",2,3,3
"23",2,3,3
"24",2,3,3
"25",2,2,4
"26",2,2,3
"27",2,2,3
"28",2,2,4
"29",2,3,3
"30",2,3,3
"31",2,3,3
"32",2,2,3
"33",2,2,3
"34",2,2,3
"35",2,2,4
"36",1,1,1
"37",1,1,1
"38",2,2,4
"39",2,3,2
"40",2,3,2
"41",2,2,3
"42",2,2,3
"43",2,2,4
"44",2,2,4
"45",2,3,3
"46",2,3,3
"47",2,3,3
"48",2,3,3
"49",2,3,3
"50",2,2,3
"51",1,1,4
"52",1,1,1
"53",1,1,1
"54",1,1,4
"55",2,3,3
"56",2,3,3
"57",2,3,3
"58",2,2,3
"59",2,2,3
"60",2,2,3
"61",2,2,3
"62",2,2,3
"63",2,2,3
"64",2,2,4
"65",2,2,4
"66",2,3,3
"67",2,3,3
"68",2,3,3
"69",2,2,3
"70",2,2,3
"71",2,2,3
"72",2,2,4
"73",2,2,4
"74",1,2,4
"75",1,2,4
"76",1,1,1
"77",1,1,1
"78",1,1,1
"79",1,1,1
"80",1,1,4
"81",1,2,4
"82",1,2,4
"83",1,2,4
"84",1,1,1
"85",1,2,4
"86",1,2,4
"87",1,1,4
"88",1,1,4
"89",2,2,4
"90",2,3,3
"91",2,3,3
"92",2,3,3
"93",2,3,2
"94",2,3,2
"95",2,3,2
"96",2,3,2
"97",2,3,2
"98",2,3,2
"99",2,3,2
"100",2,2,3
"101",2,2,3
"102",2,2,3
"103",2,3,3
"104",2,3,3
"105",2,3,2
"106",2,3,2
"107",2,2,3
"108",2,2,4
"109",1,1,1
"110",1,1,1
"111",1,1,1
"112",1,1,1
"113",1,1,1
"114",1,1,1
"115",2,2,4
"116",2,2,3
"117",2,2,3
"118",2,2,3
"119",2,3,3
"120",2,3,3
"121",2,2,3
"122",1,1,4
"123",1,1,1
"124",2,3,2
"125",2,3,2
"126",2,3,3
"127",2,3,3
"128",2,3,2
"129",2,3,2
"130",2,3,2
"131",2,3,2
"132",2,3,3
"133",2,3,3
"134",2,3,3
"135",2,3,3
"136",2,3,2
"137",2,3,2
"138",2,3,2
"139",2,3,2
"140",2,3,2
"141",2,3,2
"142",2,3,2
"143",2,3,2
"144",2,3,3
"145",2,3,3
"146",2,2,3
"147",2,2,4
"148",2,2,4
"149",1,2,4
"150",1,1,4
"151",1,1,1
"152",1,1,1
"153",1,1,4
"154",1,2,3
"155",1,2,4
"156",2,2,3
"157",2,3,2
"158",2,3,2
"159",2,3,3
"160",2,3,3
"161",2,3,3
"162",2,2,3
"163",1,1,4
"164",1,1,1
"165",1,1,1
"166",1,1,1
"167",2,3,3
"168",2,3,2
"169",2,3,2
"170",2,3,2
"171",2,3,2
"172",2,3,2
"173",2,3,2
"174",2,3,2
"175",2,3,3
"176",2,2,4
"177",1,1,1
"178",1,1,1
"179",1,2,4
"180",1,2,4
"181",1,2,3
"182",1,2,4
"183",1,2,4
"184",1,2,4
"185",1,2,4
"186",1,1,1
"187",1,1,1
"188",1,1,1
"189",1,1,1
"190",1,1,1
"191",1,1,1
"192",1,1,1
"193",1,1,1
"194",1,1,1
"195",1,1,1
"196",1,1,1
"197",1,1,1
"198",1,1,1
"199",1,1,1
"200",1,1,1
"201",2,3,2
"202",2,3,2
"203",2,3,2
"204",2,3,2
"205",2,3,2
"206",2,3,3
"207",2,3,3
"208",2,3,3
"209",2,3,3
"210",2,3,2
"211",2,3,2
"212",2,3,2
"213",2,3,3
"214",2,2,3
"215",2,2,3
"216",2,2,3
"217",2,2,3
"218",2,2,3
"219",2,2,3
"220",2,2,3
"221",2,2,3
"222",2,2,4
"223",2,3,3
"224",2,3,3
"225",2,2,3
"226",2,2,3
"227",2,2,3
"228",2,2,4
"229",2,2,4
"230",2,3,3
"231",2,3,3
