"","states2","states3","states4"
"1",1,1,1
"2",1,1,1
"3",2,2,4
"4",2,2,4
"5",2,2,4
"6",2,2,4
"7",2,2,4
"8",1,1,1
"9",1,3,2
"10",1,3,2
"11",1,3,2
"12",1,2,3
"13",2,2,3
"14",2,2,3
"15",2,2,3
"16",2,2,3
"17",2,2,4
"18",1,1,1
"19",1,1,1
"20",1,1,1
"21",1,1,1
"22",1,1,1
"23",1,1,1
"24",1,1,1
"25",1,3,2
"26",1,1,1
"27",1,1,1
"28",1,3,1
"29",2,2,3
"30",2,2,3
"31",2,2,3
"32",2,2,3
"33",2,2,3
"34",2,2,4
"35",2,1,4
"36",1,3,2
"37",1,2,4
"38",2,2,4
"39",2,2,4
"40",2,2,4
"41",1,1,1
"42",1,1,1
"43",1,1,1
"44",2,2,4
"45",2,2,4
"46",2,2,1
"47",2,2,3
"48",2,2,3
"49",2,2,4
"50",1,1,1
"51",1,1,1
"52",1,3,2
"53",1,3,2
"54",1,3,2
"55",2,2,3
"56",2,2,4
"57",1,1,1
"58",1,1,1
"59",1,1,1
"60",2,1,4
"61",2,2,4
"62",2,2,4
"63",1,1,1
"64",1,3,2
"65",2,2,3
"66",2,2,3
"67",2,1,4
"68",1,3,2
"69",1,3,2
"70",1,1,1
"71",1,1,1
"72",1,3,2
"73",1,3,1
"74",1,3,1
"75",1,3,2
"76",1,3,2
"77",1,3,2
"78",1,3,2
"79",1,3,2
"80",1,3,2
"81",1,3,2
"82",1,3,2
"83",1,3,2
"84",1,1,4
"85",1,1,4
"86",1,3,2
"87",1,3,2
"88",1,3,2
"89",1,1,1
"90",1,1,1
"91",1,1,1
"92",1,1,1
"93",2,2,3
"94",2,2,3
"95",2,2,3
"96",2,2,3
"97",2,2,3
"98",2,2,3
"99",2,1,4
"100",1,3,2
"101",1,3,2
"102",2,2,3
"103",2,2,4
"104",2,1,4
"105",2,1,4
"106",2,1,4
"107",1,1,1
"108",1,1,1
"109",1,1,1
"110",1,3,2
"111",1,3,2
"112",1,3,2
"113",1,3,2
"114",1,3,2
"115",1,3,2
"116",1,3,2
"117",1,3,2
"118",2,2,3
"119",2,2,3
"120",2,1,4
"121",1,3,1
"122",1,3,1
"123",2,2,3
"124",2,2,4
"125",1,1,1
"126",1,1,1
"127",1,1,1
"128",1,1,1
"129",1,1,1
"130",1,1,1
"131",1,1,1
"132",1,3,1
"133",1,3,1
"134",1,3,1
"135",2,2,3
"136",2,2,4
"137",1,1,1
"138",1,1,1
"139",1,1,4
"140",1,1,4
"141",1,1,1
"142",1,1,1
"143",1,1,1
"144",1,1,1
"145",1,1,1
"146",1,3,1
"147",1,3,1
"148",1,3,1
"149",1,3,1
"150",1,3,1
"151",1,3,1
"152",1,3,1
"153",1,1,1
"154",1,1,1
"155",1,1,1
"156",1,1,1
"157",1,1,1
"158",1,1,1
"159",1,1,1
"160",1,1,1
"161",2,2,3
"162",2,2,4
"163",2,1,1
"164",2,1,1
"165",2,1,1
"166",2,2,3
"167",2,2,3
"168",2,2,3
"169",2,2,3
"170",2,2,3
"171",2,2,3
"172",2,2,3
"173",2,2,3
"174",2,2,4
"175",1,1,1
"176",1,1,1
"177",1,1,1
"178",1,1,1
"179",2,2,3
"180",2,2,3
"181",2,2,4
"182",2,2,4
"183",2,2,4
"184",2,2,4
"185",2,2,4
"186",2,2,4
"187",2,2,4
"188",2,2,4
"189",2,2,4
"190",1,1,1
"191",1,1,1
"192",1,1,1
"193",1,1,1
"194",1,1,1
"195",1,1,1
"196",1,3,2
"197",1,3,2
"198",1,3,2
"199",1,3,2
"200",2,2,3
"201",2,2,3
"202",2,2,3
"203",2,2,4
"204",2,1,4
"205",1,1,1
"206",1,1,1
"207",1,1,1
"208",1,1,1
"209",2,2,3
"210",2,2,3
"211",2,2,4
"212",2,2,4
"213",2,1,1
"214",2,1,1
"215",2,2,4
"216",2,2,4
"217",1,1,1
"218",1,1,1
"219",1,1,1
"220",1,1,1
"221",1,3,2
"222",2,2,3
"223",2,2,3
"224",2,2,3
"225",2,2,4
"226",2,2,4
"227",2,2,4
"228",2,2,4
"229",2,2,4
"230",2,2,4
"231",2,2,1
