"","states2","states3","states4"
"1",1,1,1
"2",1,1,2
"3",1,2,1
"4",1,2,1
"5",1,2,1
"6",1,2,1
"7",1,2,2
"8",1,2,2
"9",1,2,2
"10",1,2,2
"11",2,1,2
"12",2,1,4
"13",2,1,4
"14",2,1,2
"15",2,2,2
"16",2,2,2
"17",2,1,2
"18",2,1,2
"19",2,1,4
"20",2,1,4
"21",2,1,4
"22",2,1,4
"23",2,1,4
"24",2,1,4
"25",2,2,2
"26",2,1,2
"27",2,3,3
"28",2,3,3
"29",2,1,2
"30",1,1,2
"31",1,1,2
"32",1,2,1
"33",1,2,1
"34",1,2,1
"35",2,1,2
"36",2,1,4
"37",2,1,4
"38",2,1,4
"39",2,1,4
"40",2,1,2
"41",2,1,2
"42",2,1,2
"43",1,2,2
"44",1,2,2
"45",1,2,2
"46",1,1,4
"47",1,1,4
"48",1,1,2
"49",1,2,2
"50",1,2,2
"51",1,2,2
"52",1,2,2
"53",2,1,2
"54",2,1,4
"55",2,1,4
"56",2,1,4
"57",2,1,4
"58",2,1,4
"59",2,1,4
"60",2,1,4
"61",2,1,2
"62",2,1,2
"63",2,1,2
"64",2,1,4
"65",2,1,4
"66",2,1,4
"67",2,1,2
"68",2,1,2
"69",1,2,2
"70",1,2,2
"71",1,2,1
"72",1,2,1
"73",1,2,1
"74",1,2,1
"75",1,2,1
"76",1,2,1
"77",1,2,1
"78",2,1,2
"79",2,1,4
"80",2,1,4
"81",2,3,3
"82",2,3,3
"83",2,3,3
"84",2,3,3
"85",2,3,3
"86",2,1,2
"87",2,1,2
"88",2,1,2
"89",2,1,4
"90",2,1,4
"91",2,1,4
"92",2,1,4
"93",2,1,4
"94",2,1,4
"95",2,1,4
"96",2,1,4
"97",2,1,4
"98",2,1,4
"99",2,1,2
"100",2,1,2
"101",2,1,2
"102",2,1,2
"103",2,1,2
"104",2,1,2
"105",2,1,4
"106",2,1,4
"107",2,1,4
"108",2,1,4
"109",2,3,4
"110",2,3,4
"111",2,3,4
"112",2,3,4
"113",2,3,4
"114",2,3,4
"115",2,1,4
"116",2,1,4
"117",2,1,4
"118",2,1,4
"119",2,1,4
"120",2,1,4
"121",2,1,4
"122",2,1,4
"123",2,1,4
"124",2,1,4
"125",2,1,4
"126",2,1,4
"127",2,1,4
"128",2,1,4
"129",2,1,4
"130",2,1,4
"131",2,1,4
"132",2,1,4
"133",2,1,4
"134",2,1,4
"135",2,1,4
"136",2,1,4
"137",2,1,2
"138",2,1,2
"139",2,1,2
"140",2,1,2
"141",2,1,4
"142",2,1,4
"143",2,1,4
"144",2,1,4
"145",2,1,4
"146",2,1,4
"147",2,1,4
"148",2,1,2
"149",1,2,2
"150",1,2,2
"151",1,2,2
"152",1,1,2
"153",1,1,2
"154",1,1,2
"155",1,2,1
"156",1,2,1
"157",1,2,1
"158",1,2,1
"159",1,2,2
"160",2,1,4
"161",2,1,4
"162",2,1,4
"163",2,1,4
"164",2,1,4
"165",2,1,4
"166",2,1,4
"167",2,1,2
"168",2,1,2
"169",2,1,2
"170",2,1,2
"171",2,1,2
"172",2,1,2
"173",2,2,1
"174",2,1,2
"175",2,1,4
"176",2,1,4
"177",2,1,4
"178",2,1,4
"179",2,1,4
"180",2,1,2
"181",2,1,2
"182",2,1,2
"183",2,1,4
"184",2,1,4
"185",2,1,4
"186",2,1,4
"187",2,1,4
"188",2,1,4
"189",2,1,4
"190",2,1,2
"191",2,1,2
"192",2,1,2
"193",2,1,2
"194",2,1,2
"195",2,1,2
"196",2,1,2
"197",2,1,2
"198",2,1,4
"199",2,1,4
"200",2,1,4
"201",2,1,4
"202",2,1,4
"203",2,1,4
"204",2,1,4
"205",2,1,4
"206",2,1,4
"207",2,1,4
"208",2,1,4
"209",2,1,4
"210",2,1,4
"211",2,1,4
"212",2,1,4
"213",2,1,4
"214",2,1,4
"215",2,1,4
"216",2,1,4
"217",2,1,4
"218",2,1,4
"219",2,1,4
"220",2,1,4
"221",2,1,4
"222",2,1,2
"223",2,1,2
"224",2,1,2
"225",2,1,2
"226",2,1,4
"227",2,1,4
"228",2,1,4
"229",2,1,4
"230",2,1,4
"231",2,1,4
"232",2,1,2
"233",2,1,2
"234",2,1,4
"235",2,1,2
"236",2,1,2
"237",2,1,4
"238",2,1,4
"239",2,1,4
"240",1,2,2
"241",1,2,2
"242",1,2,2
"243",1,2,2
"244",1,2,2
"245",1,2,2
"246",2,1,4
"247",2,1,4
"248",2,1,4
"249",1,2,2
"250",1,2,2
"251",1,2,1
"252",1,2,1
"253",1,2,1
"254",1,2,1
"255",1,2,2
"256",2,1,4
"257",2,1,4
"258",2,1,4
"259",2,1,4
"260",2,1,2
"261",2,1,2
"262",2,1,2
"263",2,1,2
"264",2,1,4
"265",2,1,4
"266",2,1,4
"267",2,1,4
"268",2,1,4
"269",2,1,4
"270",2,1,4
"271",2,1,4
"272",2,1,4
"273",2,1,4
"274",2,1,4
"275",2,1,4
"276",2,1,4
"277",2,1,4
"278",2,1,4
"279",2,1,4
"280",2,1,4
"281",2,1,4
"282",2,1,2
"283",2,1,2
"284",2,1,2
"285",2,1,2
"286",2,1,4
"287",2,1,2
"288",2,1,2
"289",2,1,2
"290",2,1,2
"291",2,1,4
"292",2,1,4
"293",2,1,2
"294",1,2,1
"295",1,2,1
"296",1,2,1
"297",1,1,2
"298",1,1,2
"299",1,1,2
"300",1,1,2
"301",1,2,1
"302",1,2,1
"303",2,1,2
"304",2,1,4
"305",2,1,4
"306",2,1,4
"307",2,1,4
"308",2,1,4
"309",2,1,4
"310",2,1,4
"311",2,1,2
"312",2,1,2
"313",2,1,4
"314",2,1,4
"315",1,1,2
"316",1,2,1
"317",1,2,1
"318",1,2,2
"319",2,1,4
"320",2,1,4
"321",2,1,4
"322",2,1,4
"323",2,1,4
"324",2,1,4
"325",2,1,4
"326",2,1,4
"327",2,1,4
"328",2,1,4
"329",2,1,4
"330",2,1,2
"331",2,1,2
"332",2,1,4
"333",2,1,4
"334",2,1,2
"335",2,1,4
"336",2,3,3
"337",2,3,3
"338",2,3,3
"339",2,3,3
"340",2,3,3
"341",2,3,3
"342",2,3,3
"343",2,3,3
"344",2,3,3
"345",2,1,2
"346",2,1,2
"347",2,1,2
"348",2,1,4
"349",2,3,4
"350",2,3,3
"351",2,3,3
"352",2,1,4
"353",2,1,4
"354",2,1,4
"355",2,1,4
"356",2,1,4
"357",2,1,4
"358",2,1,4
"359",2,1,2
"360",2,1,2
"361",2,1,2
"362",2,3,3
"363",2,3,3
"364",2,3,3
"365",2,3,3
"366",2,3,3
"367",2,3,3
"368",2,3,3
"369",2,3,3
"370",2,1,4
"371",2,1,4
"372",2,1,4
"373",2,1,4
"374",2,1,2
"375",2,1,2
"376",2,1,2
"377",2,1,2
"378",2,3,3
"379",2,3,3
"380",2,3,3
"381",2,3,3
"382",2,3,3
"383",2,3,3
"384",2,3,3
"385",2,3,3
"386",2,3,3
"387",2,1,2
"388",2,1,2
"389",2,1,2
"390",2,1,4
"391",2,1,4
"392",2,1,4
"393",1,2,2
"394",1,2,2
"395",1,2,2
"396",1,2,2
"397",1,2,1
"398",1,2,1
"399",1,2,1
"400",1,2,1
"401",1,2,1
"402",1,2,2
"403",2,1,4
"404",2,1,4
"405",2,1,4
"406",2,3,3
"407",2,1,2
"408",2,1,2
"409",2,1,2
"410",2,1,2
"411",2,1,2
"412",2,1,2
"413",2,3,3
"414",2,3,3
"415",2,3,3
"416",2,3,3
"417",2,3,3
"418",2,3,3
"419",2,1,2
"420",2,1,2
"421",2,1,2
"422",2,1,2
"423",2,1,2
"424",2,1,2
"425",2,1,4
"426",2,1,4
"427",2,1,2
"428",1,2,1
"429",1,2,2
"430",1,2,2
"431",1,2,2
"432",1,2,2
"433",1,2,1
"434",1,2,1
"435",1,2,2
"436",1,2,2
"437",1,2,2
"438",1,2,2
"439",1,2,2
"440",1,2,1
"441",1,2,1
"442",1,2,1
"443",1,2,1
"444",1,2,1
"445",1,2,1
"446",1,2,1
"447",1,2,1
"448",1,2,1
"449",1,2,1
"450",1,2,2
"451",1,2,2
"452",1,2,2
"453",2,1,4
"454",2,3,4
"455",2,3,3
"456",2,1,2
"457",2,1,2
"458",2,1,4
"459",2,1,4
"460",2,1,4
"461",1,2,2
"462",1,2,1
"463",1,2,1
"464",1,2,1
"465",1,2,2
"466",1,1,2
"467",2,1,4
"468",2,1,4
"469",2,1,4
"470",2,1,4
"471",1,2,1
"472",1,2,1
"473",1,2,2
"474",1,1,4
"475",1,1,4
"476",1,1,2
"477",1,2,2
"478",1,2,2
"479",1,2,2
"480",1,1,2
"481",2,1,4
"482",2,1,4
"483",2,1,4
"484",2,1,4
"485",2,1,4
"486",2,1,4
"487",2,1,4
"488",2,1,4
"489",2,1,4
"490",2,1,2
"491",2,2,2
"492",2,2,2
"493",2,2,2
"494",2,1,4
"495",2,1,4
"496",2,1,4
"497",2,1,2
"498",2,1,2
"499",2,1,2
"500",2,2,2
"501",2,1,4
"502",2,1,4
"503",2,1,2
"504",2,1,4
"505",2,1,4
"506",2,1,4
"507",2,1,4
"508",2,1,4
"509",2,1,4
"510",2,1,4
"511",2,1,4
"512",2,1,2
"513",2,1,2
"514",2,1,4
"515",2,1,4
"516",2,1,4
"517",2,1,2
"518",2,1,2
"519",2,1,4
"520",2,1,4
"521",2,1,4
"522",2,1,4
"523",2,1,4
"524",2,1,4
"525",2,1,4
"526",1,2,2
"527",1,2,2
"528",1,2,1
"529",1,2,1
"530",2,1,2
"531",2,1,4
"532",2,1,4
"533",2,1,4
"534",2,1,2
"535",2,1,2
"536",2,1,2
"537",2,1,4
"538",2,1,4
"539",2,1,4
"540",2,1,4
"541",2,1,4
"542",2,1,4
"543",2,1,4
"544",2,1,4
"545",2,1,4
"546",2,1,4
"547",2,1,4
"548",2,1,4
"549",2,1,4
"550",2,1,4
"551",2,1,4
"552",2,1,4
"553",2,1,2
"554",2,1,2
"555",2,1,2
"556",2,1,2
"557",2,2,1
"558",2,1,2
"559",2,1,2
"560",2,1,2
"561",2,1,2
"562",2,1,4
"563",2,1,4
"564",2,1,4
"565",2,1,4
"566",2,1,4
"567",2,1,4
"568",2,1,4
"569",2,1,2
"570",2,1,2
"571",2,1,4
"572",2,1,4
"573",2,1,2
"574",2,1,2
"575",2,1,2
"576",2,1,2
"577",2,1,2
"578",2,1,2
"579",2,1,4
"580",2,1,4
"581",2,1,4
"582",2,1,4
"583",2,1,4
"584",2,1,4
"585",2,2,2
"586",2,2,2
"587",2,2,2
"588",2,1,4
"589",2,1,4
"590",2,1,4
"591",2,1,4
"592",2,1,4
"593",2,1,2
"594",2,1,2
"595",2,1,2
"596",2,1,2
"597",2,1,2
"598",2,1,2
"599",2,1,4
"600",2,1,4
"601",2,1,4
"602",2,1,4
"603",2,1,4
"604",2,1,4
"605",2,1,4
"606",2,1,2
"607",2,1,2
"608",2,1,4
"609",2,1,4
"610",2,1,4
"611",2,1,4
"612",2,1,4
"613",2,1,4
"614",2,1,4
"615",2,1,4
"616",2,1,4
"617",2,1,2
"618",2,1,4
"619",2,1,4
"620",2,1,4
"621",2,1,4
"622",2,1,4
"623",2,1,4
"624",2,1,2
"625",2,1,4
"626",2,1,4
"627",1,1,2
"628",1,1,2
"629",1,2,1
"630",1,2,1
"631",2,1,2
"632",2,1,4
"633",2,1,4
"634",1,2,2
"635",1,2,2
"636",1,2,2
"637",1,2,2
"638",1,2,2
"639",1,2,2
"640",1,2,2
"641",1,2,2
"642",1,2,2
"643",1,2,2
"644",1,2,1
"645",1,2,1
"646",1,2,1
"647",1,2,1
"648",1,2,2
"649",1,1,2
"650",2,1,4
"651",2,1,4
"652",2,1,4
"653",2,1,2
"654",2,1,2
"655",2,1,2
"656",2,2,2
"657",2,2,2
"658",2,1,4
"659",2,1,4
"660",2,1,4
"661",2,1,4
"662",2,1,4
"663",2,1,4
"664",2,3,3
"665",2,3,3
"666",2,3,3
"667",2,3,3
"668",2,1,4
"669",2,1,4
"670",2,1,4
"671",2,1,4
"672",2,1,4
"673",2,1,4
"674",2,1,4
"675",1,2,1
"676",1,2,1
"677",1,2,2
"678",1,2,2
"679",2,1,4
"680",2,1,4
"681",2,1,4
"682",2,2,2
"683",2,2,2
"684",2,2,2
"685",2,2,2
"686",2,1,2
"687",2,1,4
"688",2,1,4
"689",2,1,2
"690",2,1,2
"691",2,1,4
"692",2,1,4
"693",2,1,2
"694",2,1,2
"695",2,1,4
"696",2,1,4
"697",2,1,4
"698",2,1,4
"699",2,1,4
"700",2,1,4
"701",2,1,4
"702",2,1,4
"703",2,1,2
"704",2,1,4
"705",2,1,4
"706",1,2,2
"707",1,2,1
"708",1,2,2
"709",2,1,4
"710",2,1,4
"711",2,1,4
"712",2,1,4
"713",2,1,4
"714",2,1,4
"715",2,1,4
"716",2,1,4
"717",2,1,2
"718",1,1,2
"719",1,1,2
"720",1,1,2
"721",1,1,4
"722",1,2,2
"723",1,2,1
"724",1,2,1
"725",1,2,1
"726",1,2,2
"727",1,1,2
"728",1,1,2
"729",1,2,1
"730",1,2,1
"731",1,2,1
"732",1,2,1
"733",1,2,1
"734",1,2,1
"735",2,1,2
"736",2,1,4
"737",2,1,2
"738",2,1,2
"739",2,1,4
"740",2,1,4
"741",1,1,2
"742",1,2,1
"743",1,2,1
"744",1,2,1
"745",1,2,1
"746",1,2,1
"747",1,2,1
"748",1,2,1
"749",1,2,1
"750",1,2,1
"751",1,2,2
"752",1,2,2
"753",1,2,2
"754",2,1,4
"755",2,1,4
