"","states2","states3","states4"
"1",1,1,1
"2",1,1,1
"3",1,1,2
"4",1,1,2
"5",1,1,2
"6",1,1,3
"7",2,3,4
"8",2,3,4
"9",2,3,3
"10",2,3,3
"11",2,2,4
"12",2,2,4
"13",2,2,1
"14",2,2,1
"15",1,1,2
"16",1,1,2
"17",1,1,2
"18",1,1,2
"19",1,3,3
"20",2,2,1
"21",2,2,1
"22",2,2,1
"23",2,2,1
"24",2,2,1
"25",2,2,1
"26",2,2,1
"27",2,2,1
"28",2,2,1
"29",2,2,1
"30",2,2,4
"31",2,2,4
"32",1,1,3
"33",1,1,2
"34",1,1,3
"35",1,1,3
"36",2,3,4
"37",2,2,4
"38",2,2,4
"39",1,1,3
"40",1,1,2
"41",1,1,2
"42",1,1,2
"43",1,1,2
"44",1,1,3
"45",1,3,3
"46",1,3,3
"47",1,3,3
"48",1,3,3
"49",1,3,3
"50",1,3,3
"51",1,3,3
"52",1,3,3
"53",2,3,3
"54",2,2,4
"55",2,2,4
"56",2,2,4
"57",2,2,4
"58",2,2,4
"59",2,2,1
"60",2,2,4
"61",2,2,4
"62",2,2,4
"63",2,2,4
"64",2,3,4
"65",2,3,4
"66",2,3,4
"67",1,3,3
"68",1,1,3
"69",1,1,3
"70",1,1,2
"71",1,1,2
"72",1,1,2
"73",1,1,2
"74",1,1,2
"75",1,1,2
"76",1,1,2
"77",1,1,3
"78",2,3,3
"79",2,2,4
"80",2,2,1
"81",2,2,1
"82",2,2,1
"83",2,2,1
"84",2,2,1
"85",2,2,1
"86",2,3,1
"87",1,1,2
"88",1,1,2
"89",1,1,2
"90",1,1,2
"91",1,1,3
"92",1,1,3
"93",1,1,3
"94",1,1,3
"95",1,1,3
"96",1,1,2
"97",1,1,2
"98",1,1,2
"99",1,3,3
"100",1,3,3
"101",1,3,3
"102",1,3,3
"103",1,3,3
"104",1,3,3
"105",1,3,3
"106",1,3,3
"107",1,3,3
"108",2,3,4
"109",2,3,4
"110",2,3,4
"111",2,3,4
"112",2,2,4
"113",2,2,4
"114",2,2,4
"115",2,2,1
"116",2,2,1
"117",2,2,1
"118",2,2,1
"119",2,2,1
"120",2,2,4
"121",2,2,4
"122",2,2,4
"123",2,2,4
"124",2,2,4
"125",2,2,4
"126",2,2,4
"127",2,2,4
"128",2,2,4
"129",2,2,4
"130",2,2,4
"131",2,3,4
"132",2,3,4
"133",1,3,3
"134",1,3,3
"135",1,3,3
"136",1,3,3
"137",1,3,3
"138",1,3,3
"139",2,3,4
"140",2,3,4
"141",2,3,4
"142",2,3,4
"143",2,3,4
"144",2,3,4
"145",2,3,4
"146",2,3,4
"147",2,3,4
"148",2,3,4
"149",2,3,4
"150",2,3,4
"151",2,3,3
"152",2,3,3
"153",2,3,4
"154",2,3,4
"155",1,3,3
"156",1,1,2
"157",1,1,2
"158",1,1,2
"159",1,1,3
"160",1,3,3
"161",2,3,4
"162",2,3,4
"163",2,3,4
"164",2,3,4
"165",2,3,4
"166",1,3,3
"167",1,3,3
"168",1,1,3
"169",1,1,3
"170",1,1,3
"171",1,1,2
"172",1,1,2
"173",1,1,3
"174",1,1,3
"175",1,1,2
"176",1,1,2
"177",1,1,2
"178",1,1,2
"179",1,1,2
"180",1,1,3
"181",1,3,3
"182",2,3,4
"183",2,3,4
"184",2,3,4
"185",2,3,4
"186",2,2,4
"187",2,2,4
"188",2,2,4
"189",2,2,4
"190",2,2,4
"191",2,2,1
"192",2,2,1
"193",2,2,1
"194",1,3,3
"195",1,3,3
"196",1,3,3
"197",1,3,3
"198",1,3,3
"199",2,3,4
"200",2,2,4
"201",2,2,4
"202",2,2,4
"203",2,2,4
"204",2,2,4
"205",2,2,4
"206",2,2,4
"207",2,2,4
"208",2,3,4
"209",2,3,3
"210",1,3,3
"211",1,1,3
"212",1,1,3
"213",1,1,3
"214",1,3,3
"215",1,3,3
"216",1,3,3
"217",1,1,2
"218",1,1,2
"219",1,1,2
"220",1,1,2
"221",1,1,2
"222",1,1,2
"223",1,1,2
"224",1,1,2
"225",1,1,2
"226",1,1,2
"227",1,1,2
"228",1,3,3
"229",2,2,4
"230",2,2,4
"231",2,2,4
