"","states2","states3","states4"
"1",1,1,1
"2",1,2,2
"3",1,2,2
"4",1,2,2
"5",1,2,2
"6",1,1,1
"7",1,1,1
"8",1,2,2
"9",1,2,2
"10",1,1,1
"11",1,1,1
"12",1,1,1
"13",1,1,1
"14",1,2,2
"15",1,2,2
"16",1,2,1
"17",1,1,1
"18",1,1,1
"19",1,1,1
"20",1,1,1
"21",1,2,2
"22",1,1,1
"23",1,1,1
"24",1,1,1
"25",1,1,1
"26",1,1,1
"27",1,1,1
"28",1,1,1
"29",1,1,1
"30",1,1,1
"31",1,2,2
"32",1,2,2
"33",1,1,1
"34",1,1,1
"35",1,1,1
"36",1,1,1
"37",1,1,1
"38",1,1,1
"39",1,2,2
"40",1,2,2
"41",1,2,2
"42",1,2,2
"43",1,2,2
"44",1,2,2
"45",1,1,1
"46",1,1,1
"47",1,1,1
"48",1,2,2
"49",1,2,2
"50",1,2,2
"51",1,2,2
"52",1,1,1
"53",1,1,1
"54",1,1,1
"55",1,1,1
"56",1,2,2
"57",1,2,2
"58",1,1,1
"59",1,1,1
"60",1,1,1
"61",1,1,1
"62",1,1,1
"63",1,1,1
"64",1,2,2
"65",1,2,2
"66",1,2,2
"67",1,1,1
"68",1,1,1
"69",1,1,1
"70",1,2,2
"71",1,2,2
"72",1,2,2
"73",1,2,2
"74",1,2,2
"75",1,2,2
"76",1,3,1
"77",1,3,1
"78",1,3,1
"79",1,3,1
"80",1,3,1
"81",1,3,1
"82",1,3,1
"83",1,3,1
"84",1,3,1
"85",1,3,1
"86",1,3,1
"87",1,3,1
"88",1,3,1
"89",1,3,1
"90",1,3,1
"91",1,3,1
"92",1,3,1
"93",1,3,1
"94",1,3,1
"95",1,2,2
"96",1,2,2
"97",2,2,2
"98",2,3,4
"99",2,3,3
"100",2,3,3
"101",2,3,3
"102",2,3,4
"103",2,3,4
"104",2,3,3
"105",2,3,3
"106",2,3,4
"107",2,3,4
"108",2,3,4
"109",2,3,4
"110",2,3,4
"111",2,3,4
"112",2,3,4
"113",2,3,4
"114",2,3,4
"115",2,3,4
"116",2,3,4
"117",2,3,4
"118",2,3,4
"119",2,3,4
"120",2,3,4
"121",2,3,4
"122",2,3,4
"123",2,3,4
"124",2,3,4
"125",2,3,4
"126",2,3,4
"127",2,3,4
"128",2,3,4
"129",2,3,4
"130",2,3,4
"131",2,3,4
"132",2,3,4
"133",1,2,2
"134",1,2,2
"135",1,2,2
"136",1,2,2
"137",1,2,2
"138",1,2,3
"139",1,3,3
"140",1,3,4
"141",1,3,4
"142",1,3,4
"143",1,3,4
"144",1,3,4
"145",1,3,3
"146",1,3,3
"147",1,3,4
"148",1,3,4
"149",1,3,4
"150",1,3,4
"151",1,3,4
"152",1,3,4
"153",1,3,3
"154",1,3,3
"155",1,3,3
"156",1,3,3
"157",1,2,3
"158",1,2,3
"159",1,2,3
"160",1,2,3
"161",1,2,2
"162",1,2,2
"163",1,2,2
"164",1,2,2
"165",1,2,2
"166",1,2,2
"167",1,2,2
"168",1,2,2
"169",1,2,2
"170",1,2,2
"171",1,2,2
"172",1,2,2
"173",1,2,2
"174",1,2,2
"175",1,2,2
"176",1,2,2
"177",1,2,2
"178",1,2,2
"179",1,2,2
"180",1,2,2
"181",1,2,2
"182",2,3,3
"183",2,3,3
"184",2,3,3
"185",2,3,3
"186",2,3,3
"187",2,3,3
"188",2,3,3
"189",2,3,4
"190",2,3,4
"191",2,3,4
"192",2,3,4
"193",2,3,4
"194",2,3,4
"195",2,3,4
"196",2,3,4
"197",2,3,4
"198",2,3,3
"199",2,3,3
"200",2,3,3
"201",2,3,3
"202",2,3,3
"203",2,3,4
"204",2,3,4
"205",2,3,4
"206",2,3,4
"207",2,3,4
"208",2,3,4
"209",2,3,4
"210",2,3,4
"211",2,3,3
"212",2,3,3
"213",2,3,3
"214",2,3,3
"215",2,3,3
"216",2,2,3
"217",2,2,3
"218",2,2,3
"219",2,2,3
"220",2,2,3
"221",2,2,3
"222",2,2,3
"223",2,2,3
"224",2,2,3
"225",2,2,3
"226",2,2,3
"227",2,2,3
"228",2,2,3
"229",2,2,3
"230",2,3,3
"231",2,3,3
"232",2,3,3
"233",2,3,4
"234",2,3,4
"235",2,3,4
"236",2,3,3
"237",2,3,3
"238",2,3,3
"239",2,3,4
"240",2,3,4
"241",2,3,4
"242",2,3,4
"243",2,3,4
"244",2,3,4
"245",2,3,4
"246",2,3,4
"247",2,3,4
"248",2,3,4
"249",2,3,4
"250",2,3,4
"251",2,3,4
"252",2,3,3
"253",2,3,3
"254",2,3,3
"255",2,3,3
"256",2,3,3
"257",2,3,3
"258",2,3,3
"259",2,3,3
"260",2,3,3
"261",2,3,3
"262",2,3,4
"263",2,3,4
"264",2,3,4
"265",1,2,2
"266",1,2,2
"267",1,2,2
"268",1,2,2
"269",1,2,2
"270",1,2,3
"271",1,2,3
"272",1,2,3
"273",1,2,3
"274",1,2,3
"275",1,2,3
"276",1,2,3
"277",1,2,3
"278",1,2,3
"279",1,3,3
"280",1,3,3
"281",1,3,3
"282",1,3,4
"283",1,2,2
"284",1,2,2
"285",1,1,1
"286",1,1,1
"287",1,2,2
"288",1,2,2
