"","states2","states3","states4","states5","states6"
"1",1,1,1,1,1
"2",1,1,1,4,1
"3",1,1,1,4,1
"4",1,2,4,3,6
"5",1,2,4,3,6
"6",1,2,4,3,6
"7",1,2,4,3,6
"8",1,2,4,3,6
"9",1,1,1,4,1
"10",1,1,1,4,1
"11",1,1,1,4,1
"12",1,1,1,4,1
"13",1,1,4,4,1
"14",1,1,2,5,4
"15",1,1,2,5,4
"16",1,2,3,3,1
"17",2,2,3,3,6
"18",2,2,3,3,6
"19",2,2,3,3,5
"20",2,2,3,3,5
"21",2,2,3,2,5
"22",2,2,3,2,5
"23",2,2,3,2,5
"24",2,2,3,2,3
"25",2,2,4,3,6
"26",2,2,4,3,6
"27",2,2,4,3,6
"28",2,2,4,3,6
"29",2,2,3,2,5
"30",2,2,3,2,5
"31",2,2,3,2,5
"32",2,2,3,2,5
"33",2,2,3,2,5
"34",2,2,3,2,3
"35",1,2,4,3,6
"36",1,1,1,4,1
"37",1,1,1,4,1
"38",2,3,3,2,5
"39",2,3,3,2,5
"40",2,3,3,2,5
"41",2,3,3,2,5
"42",2,3,3,2,5
"43",2,2,4,3,3
"44",2,2,4,3,6
"45",2,2,3,2,5
"46",2,2,3,2,5
"47",2,2,3,2,5
"48",2,2,3,2,5
"49",2,2,4,3,3
"50",2,2,4,3,6
"51",1,1,1,4,1
"52",1,1,1,1,1
"53",1,1,1,4,1
"54",1,1,1,4,1
"55",2,2,3,2,5
"56",2,2,3,2,5
"57",2,2,3,2,3
"58",2,2,4,3,6
"59",2,2,4,3,6
"60",2,2,4,3,6
"61",2,2,4,3,6
"62",2,2,3,2,5
"63",2,2,4,3,3
"64",2,2,4,3,6
"65",2,2,4,3,6
"66",2,3,3,2,5
"67",2,3,3,2,5
"68",2,3,3,2,5
"69",2,2,3,2,5
"70",2,2,3,2,5
"71",2,2,4,3,3
"72",1,2,4,3,6
"73",1,2,4,3,6
"74",1,1,1,4,1
"75",1,1,1,4,1
"76",1,1,1,4,1
"77",1,1,1,1,1
"78",1,1,1,1,1
"79",1,1,1,1,1
"80",1,1,1,4,1
"81",1,1,4,3,6
"82",1,1,4,3,6
"83",1,1,4,4,6
"84",1,1,1,4,1
"85",1,1,4,3,6
"86",1,1,4,4,6
"87",1,1,4,4,6
"88",1,1,4,4,6
"89",2,2,4,3,6
"90",2,2,3,2,5
"91",2,2,3,2,5
"92",2,2,3,2,5
"93",2,3,3,2,5
"94",2,3,3,2,5
"95",2,3,3,2,5
"96",2,3,3,2,5
"97",2,3,3,2,5
"98",2,3,3,2,5
"99",2,3,3,2,5
"100",2,2,3,2,5
"101",2,2,4,3,3
"102",2,2,4,3,6
"103",2,2,3,2,5
"104",2,2,3,2,5
"105",2,2,3,2,5
"106",2,2,3,2,5
"107",2,2,4,3,3
"108",1,1,1,4,1
"109",1,1,1,1,1
"110",1,1,1,1,4
"111",1,1,1,1,4
"112",1,1,1,1,4
"113",1,1,1,1,4
"114",1,1,1,4,1
"115",1,2,4,3,6
"116",1,2,4,3,6
"117",1,2,4,3,6
"118",2,2,3,2,5
"119",2,2,3,2,5
"120",2,2,3,2,3
"121",1,1,4,3,6
"122",1,1,1,4,1
"123",1,1,1,4,1
"124",2,3,2,5,2
"125",2,3,3,2,5
"126",2,2,4,3,3
"127",2,2,4,3,6
"128",2,3,3,2,5
"129",2,3,3,2,5
"130",2,3,3,2,5
"131",2,2,3,2,5
"132",2,2,3,2,5
"133",2,2,3,2,5
"134",2,2,3,2,5
"135",2,3,2,2,2
"136",2,3,2,5,2
"137",2,3,2,5,2
"138",2,3,3,2,5
"139",2,3,3,2,5
"140",2,3,3,2,5
"141",2,3,3,2,5
"142",2,2,3,2,5
"143",2,2,3,2,5
"144",2,2,4,3,3
"145",2,2,4,3,6
"146",2,2,4,3,6
"147",2,2,4,3,6
"148",2,2,3,2,5
"149",2,2,3,3,3
"150",1,1,4,3,6
"151",1,1,1,4,1
"152",1,1,1,4,1
"153",1,2,4,3,6
"154",1,2,4,3,6
"155",1,2,4,4,6
"156",1,2,4,3,6
"157",1,2,4,3,5
"158",1,2,4,3,3
"159",1,2,4,3,6
"160",1,2,4,3,6
"161",1,2,4,3,6
"162",1,2,4,3,6
"163",1,1,1,4,1
"164",1,1,1,4,1
"165",1,1,1,4,1
"166",1,1,1,4,1
"167",2,3,2,5,5
"168",2,3,2,5,2
"169",2,3,2,5,2
"170",2,3,3,2,5
"171",2,3,3,2,5
"172",2,3,3,2,5
"173",2,3,3,2,5
"174",2,3,3,2,5
"175",2,2,4,3,3
"176",1,1,4,3,6
"177",1,1,1,4,1
"178",1,1,1,4,1
"179",1,2,4,3,6
"180",1,2,4,3,6
"181",1,2,4,3,6
"182",1,2,4,3,6
"183",1,2,4,3,6
"184",1,2,4,3,6
"185",1,2,4,3,6
"186",1,1,1,4,1
"187",1,1,1,4,1
"188",1,1,1,4,1
"189",1,1,1,4,1
"190",1,1,1,4,1
"191",1,1,1,4,1
"192",1,1,1,4,1
"193",1,1,1,4,1
"194",1,1,1,4,1
"195",1,1,1,4,1
"196",1,1,1,4,1
"197",1,1,1,1,1
"198",1,1,1,1,1
"199",1,1,1,1,1
"200",1,1,1,4,6
"201",2,3,3,2,5
"202",2,3,3,2,5
"203",2,3,3,2,5
"204",2,3,3,2,5
"205",2,2,3,2,5
"206",2,2,3,2,5
"207",2,2,3,2,5
"208",2,2,3,2,5
"209",2,2,3,2,5
"210",2,3,2,2,2
"211",2,3,2,2,2
"212",2,3,2,2,2
"213",2,2,3,3,3
"214",2,2,4,3,6
"215",2,2,4,3,5
"216",2,2,4,3,3
"217",2,2,4,3,6
"218",2,2,4,3,6
"219",2,2,3,2,5
"220",2,2,3,2,5
"221",2,2,4,3,3
"222",2,2,4,3,6
"223",2,2,3,3,5
"224",2,2,3,2,5
"225",2,2,3,2,5
"226",2,2,3,3,5
"227",2,2,4,3,3
"228",2,2,4,3,6
"229",2,2,4,3,6
"230",2,2,3,2,5
"231",2,3,3,2,5
"232",2,3,3,2,5
"233",2,3,3,2,5
"234",2,3,3,2,5
"235",2,2,3,2,5
"236",2,2,3,3,3
"237",2,2,3,3,6
"238",1,2,4,3,6
"239",1,1,1,4,1
"240",1,1,1,4,1
"241",1,1,4,4,6
"242",1,1,4,3,6
"243",2,2,3,2,5
"244",2,2,3,2,5
"245",2,3,3,2,5
"246",2,3,3,2,5
"247",2,2,3,2,5
"248",2,2,3,2,5
"249",2,2,3,2,5
"250",2,2,3,2,5
"251",2,2,3,2,5
"252",2,2,3,2,5
"253",2,2,3,2,5
"254",2,2,3,2,5
"255",2,2,3,2,5
"256",2,2,3,2,5
"257",2,2,4,3,3
"258",2,2,4,3,6
"259",2,2,4,3,5
"260",2,3,3,2,5
"261",2,3,3,2,5
"262",2,2,4,3,3
"263",1,1,1,4,1
"264",1,1,1,4,1
"265",1,1,1,4,1
"266",1,1,1,4,1
"267",1,1,1,1,4
"268",1,1,1,1,1
"269",1,1,1,1,1
"270",1,1,1,1,1
"271",1,1,1,4,1
"272",1,2,4,3,6
"273",1,2,4,3,6
"274",1,2,4,3,6
"275",1,2,4,3,6
"276",1,2,4,3,6
"277",2,3,3,2,5
"278",2,3,3,2,5
"279",2,3,3,2,5
"280",2,3,3,2,5
"281",2,3,3,2,3
"282",2,2,4,3,6
"283",2,2,4,3,6
"284",2,2,4,3,6
"285",2,2,4,3,6
"286",2,3,2,5,2
"287",2,3,2,5,2
"288",2,3,3,2,5
"289",2,2,3,2,5
"290",2,2,3,3,5
"291",2,2,3,2,5
"292",2,2,3,2,3
"293",2,2,4,3,6
"294",2,2,3,3,5
"295",2,2,3,2,5
"296",2,2,4,3,3
"297",2,2,4,3,6
"298",2,3,3,2,5
"299",2,3,3,2,5
"300",2,3,3,2,5
"301",2,3,3,2,5
"302",2,3,3,2,5
"303",2,3,3,2,5
"304",2,3,3,2,5
"305",2,2,4,3,3
"306",2,2,4,3,6
"307",1,1,1,4,1
"308",1,1,1,4,1
"309",1,1,1,4,1
"310",1,2,4,3,6
"311",2,2,3,2,5
"312",2,2,3,2,5
"313",2,2,3,2,5
"314",2,2,3,2,5
"315",2,2,4,3,3
"316",1,1,1,4,1
"317",1,1,1,4,1
"318",1,1,1,4,1
"319",1,1,1,4,1
"320",1,1,1,4,1
"321",1,1,1,4,1
"322",1,1,1,4,1
"323",1,1,1,4,1
"324",1,1,1,1,1
"325",1,1,1,1,1
"326",2,2,3,2,5
"327",2,2,3,2,5
"328",2,2,3,2,5
"329",2,2,3,2,5
"330",2,2,4,3,3
"331",2,2,4,3,6
"332",2,2,4,3,6
"333",2,2,3,2,5
"334",2,3,3,2,5
"335",2,3,3,2,5
"336",2,3,3,2,5
"337",2,3,3,2,5
"338",2,3,2,5,2
"339",2,3,2,5,2
"340",2,3,2,5,2
"341",2,3,2,5,2
"342",2,3,2,5,2
"343",2,3,2,5,2
"344",2,3,2,5,2
"345",2,3,2,5,2
"346",2,3,2,5,2
"347",2,3,2,5,2
"348",2,3,2,5,2
"349",2,3,2,5,2
"350",2,3,2,2,2
"351",2,2,3,2,5
"352",2,2,4,3,3
"353",1,2,4,3,6
"354",1,2,4,3,6
"355",1,2,4,3,6
"356",1,2,4,3,6
"357",1,2,4,3,6
"358",2,2,3,3,5
"359",2,2,3,3,5
"360",2,2,3,3,5
"361",2,2,3,3,5
"362",2,2,4,3,3
"363",1,1,4,4,6
"364",1,1,1,4,1
"365",1,1,1,4,1
"366",1,1,1,4,1
"367",1,1,1,4,1
"368",1,1,1,4,1
"369",1,1,4,4,6
"370",2,2,4,3,6
"371",2,2,3,2,5
"372",2,2,3,2,5
"373",2,2,3,2,5
"374",2,2,3,2,5
"375",2,2,3,2,3
"376",2,2,4,3,6
"377",2,2,3,3,5
"378",2,2,3,3,5
"379",2,2,3,2,5
"380",2,2,3,2,5
"381",2,2,3,2,5
"382",2,2,3,2,3
"383",2,2,3,3,6
"384",2,2,3,2,5
"385",2,3,3,2,5
"386",2,3,3,2,5
"387",2,3,3,2,5
"388",2,3,3,2,5
"389",2,2,3,2,3
"390",2,2,4,3,6
"391",2,2,4,3,6
"392",2,2,4,3,5
"393",2,2,4,3,3
"394",1,1,1,4,1
"395",1,1,1,4,1
"396",2,2,4,3,6
"397",2,2,3,2,5
"398",2,2,3,2,5
"399",2,2,3,2,5
"400",2,2,3,3,3
"401",2,2,4,3,6
"402",2,2,4,3,6
"403",2,2,3,2,5
"404",2,2,3,2,5
"405",2,2,4,3,3
"406",2,2,4,3,6
"407",2,2,4,4,6
"408",2,2,4,4,6
"409",2,2,4,3,5
"410",2,2,4,3,3
"411",2,2,4,3,6
"412",2,2,3,3,5
"413",2,2,3,3,3
"414",2,2,4,3,6
"415",1,2,4,3,6
"416",1,2,4,3,6
"417",1,2,4,3,6
"418",1,2,4,3,6
"419",1,2,4,3,6
"420",1,1,1,4,1
"421",1,1,1,4,1
"422",1,1,1,4,1
"423",1,1,1,4,1
"424",1,1,1,4,1
"425",1,1,1,4,1
"426",1,1,1,1,1
"427",1,1,1,1,1
"428",1,1,1,1,1
"429",1,1,1,4,6
"430",1,1,4,3,6
"431",2,2,4,3,6
"432",2,2,4,3,6
"433",2,2,3,2,5
"434",2,2,3,2,5
"435",2,2,4,3,3
"436",2,2,4,3,6
"437",1,1,1,4,1
"438",1,1,1,1,1
"439",2,2,3,2,5
"440",2,2,3,2,5
"441",2,3,3,2,5
"442",2,3,3,2,5
"443",2,3,3,2,5
"444",2,3,3,2,5
"445",2,2,3,2,5
"446",2,2,3,3,3
"447",1,2,4,3,6
"448",1,2,4,3,6
"449",1,2,4,3,6
"450",1,2,4,3,6
"451",1,2,4,3,6
"452",1,2,4,3,6
"453",1,2,4,3,6
"454",1,1,4,3,6
"455",1,1,4,4,6
"456",1,1,4,3,6
"457",1,1,1,4,1
"458",1,1,4,3,6
"459",2,2,3,2,5
"460",2,2,3,2,5
"461",2,2,3,2,5
"462",2,2,3,2,5
"463",2,2,3,2,5
"464",2,2,4,3,3
"465",2,2,4,3,6
"466",2,2,4,3,6
"467",2,2,3,2,5
"468",2,2,3,2,5
"469",2,2,3,2,3
"470",1,1,4,3,6
"471",1,1,1,4,1
"472",1,1,1,4,1
"473",1,1,1,4,1
"474",1,1,1,4,6
"475",1,1,1,4,6
"476",1,1,1,4,1
"477",1,2,4,3,6
"478",2,2,3,2,5
"479",2,2,3,2,5
"480",2,2,4,3,3
"481",2,2,4,3,6
"482",2,2,4,3,6
"483",2,2,3,2,5
"484",2,2,3,2,5
"485",2,2,4,3,3
"486",2,2,4,3,6
"487",1,2,4,3,6
"488",1,1,1,4,1
"489",1,1,1,4,1
"490",1,1,1,4,1
"491",2,3,3,2,5
"492",2,3,3,2,5
"493",2,3,3,2,5
"494",2,3,3,2,5
"495",2,2,3,2,5
"496",2,2,3,2,5
"497",2,2,3,3,3
"498",2,2,4,3,6
"499",2,2,4,3,6
"500",2,2,4,3,6
"501",2,2,3,2,5
"502",2,2,3,3,3
"503",2,2,4,3,6
"504",1,2,4,3,6
"505",1,2,4,3,6
"506",1,1,4,4,6
"507",1,1,1,4,1
"508",1,1,1,4,1
"509",1,1,1,4,1
"510",2,2,4,3,6
"511",2,2,4,3,6
"512",2,2,4,3,6
"513",2,2,4,3,6
"514",2,3,3,2,5
"515",2,3,3,2,5
"516",2,2,3,2,3
"517",2,2,4,3,6
"518",2,2,4,3,6
"519",1,2,4,3,6
"520",1,2,4,4,6
"521",1,2,3,3,5
"522",1,2,3,3,3
"523",1,1,4,4,6
"524",1,1,1,4,1
"525",1,1,1,4,1
"526",1,1,1,4,1
"527",2,2,4,3,6
"528",2,2,4,3,6
"529",2,2,4,3,6
"530",2,2,4,3,6
"531",2,2,4,3,6
"532",2,2,3,2,5
"533",2,2,3,2,5
"534",2,2,3,2,5
"535",2,3,3,2,5
"536",2,3,3,2,5
"537",2,3,3,2,5
"538",2,3,3,2,5
"539",2,3,3,2,5
"540",2,2,4,3,3
"541",2,2,4,3,6
"542",1,1,4,4,6
"543",1,1,1,4,1
"544",1,1,1,4,1
"545",1,1,4,3,6
"546",1,1,4,3,6
"547",1,1,4,4,6
"548",1,1,4,4,6
"549",1,1,4,3,6
"550",2,3,3,2,5
"551",2,3,3,2,5
"552",2,3,3,2,5
"553",2,3,3,2,5
"554",2,3,3,2,5
"555",2,3,3,2,5
"556",2,3,3,2,5
"557",2,3,2,5,2
"558",2,3,2,5,2
"559",2,3,2,5,2
"560",2,3,2,5,2
"561",2,3,3,2,5
"562",2,3,3,2,5
"563",2,3,3,2,5
"564",2,2,3,2,5
"565",2,2,3,2,5
"566",2,2,3,3,3
"567",2,2,4,3,6
"568",2,2,4,3,6
"569",2,2,3,2,5
"570",2,2,3,2,5
"571",2,2,3,2,5
"572",2,3,3,2,5
"573",2,3,3,2,5
"574",2,3,3,2,5
"575",1,2,4,3,3
"576",1,1,1,4,1
"577",1,1,1,4,1
"578",1,1,1,4,1
"579",1,1,1,4,1
"580",1,2,4,3,6
"581",2,3,3,2,5
"582",2,3,3,2,5
"583",2,3,3,2,5
"584",2,3,3,2,5
"585",2,2,3,3,3
"586",2,2,3,3,6
"587",2,3,3,2,5
"588",2,3,3,2,5
"589",2,3,3,2,5
"590",2,3,3,2,2
"591",2,3,3,2,2
"592",2,3,3,2,2
"593",2,3,3,2,2
"594",2,3,3,2,2
"595",2,3,3,2,5
"596",1,2,4,3,3
"597",1,2,4,4,6
"598",1,2,4,4,6
"599",2,2,4,3,6
"600",2,2,3,2,5
"601",2,2,3,2,5
"602",2,2,3,2,5
"603",2,2,3,3,3
"604",2,2,3,3,6
"605",2,2,3,3,6
"606",2,2,3,3,6
"607",2,2,3,3,6
"608",2,2,3,2,5
"609",2,2,3,2,5
"610",2,2,3,2,5
"611",2,2,3,2,5
"612",2,2,3,2,5
"613",2,2,3,3,3
"614",2,2,3,3,6
"615",2,3,3,2,5
"616",2,3,2,5,2
"617",2,3,2,5,2
"618",2,3,2,5,2
"619",2,3,2,5,2
"620",2,3,3,2,5
"621",2,3,3,2,5
"622",2,2,4,3,3
"623",1,2,4,3,6
"624",1,1,1,4,1
"625",1,1,1,1,4
"626",1,1,1,1,4
"627",1,1,1,1,4
"628",1,1,1,1,1
"629",1,1,1,4,1
"630",1,2,4,3,6
"631",1,2,4,3,6
"632",1,2,4,3,6
"633",1,2,3,2,6
"634",1,1,4,3,6
"635",1,1,4,3,6
"636",1,1,1,4,1
"637",1,1,1,1,4
"638",1,1,1,1,4
"639",1,1,4,4,4
"640",1,1,3,3,4
"641",1,1,4,4,4
"642",1,1,1,1,4
"643",1,1,1,1,4
"644",1,1,1,3,4
"645",1,1,1,4,1
"646",1,1,1,1,1
"647",1,1,1,1,1
"648",1,1,1,1,1
"649",1,1,4,4,6
"650",1,1,4,3,6
"651",1,1,1,4,1
"652",1,1,1,4,1
"653",1,1,4,3,6
"654",2,2,3,2,5
"655",2,2,3,2,5
"656",2,2,3,2,5
"657",2,2,3,3,5
"658",2,2,3,3,5
"659",2,2,3,3,5
"660",2,2,3,3,3
"661",1,2,4,4,6
"662",1,1,1,1,1
"663",1,1,1,1,4
"664",1,1,1,4,1
"665",1,2,4,3,6
"666",1,2,3,2,5
"667",1,2,4,3,3
"668",1,1,1,4,1
