"","states2","states3","states4","states5","states6"
"1",1,1,1,1,1
"2",1,1,1,1,1
"3",1,1,1,1,1
"4",1,2,4,5,6
"5",1,2,4,3,4
"6",1,2,4,3,4
"7",1,2,4,3,4
"8",1,2,4,4,4
"9",1,1,1,1,6
"10",1,1,1,1,1
"11",1,1,1,1,1
"12",1,1,1,1,1
"13",1,2,4,5,6
"14",2,3,3,2,2
"15",2,3,3,2,2
"16",2,2,2,3,4
"17",2,2,2,3,4
"18",2,2,2,3,4
"19",2,2,2,3,4
"20",2,2,2,3,4
"21",2,2,2,3,5
"22",2,3,2,3,3
"23",2,3,2,3,3
"24",2,2,2,3,4
"25",2,2,4,4,6
"26",2,2,4,5,4
"27",2,2,2,3,4
"28",2,2,4,3,4
"29",2,3,2,3,5
"30",2,3,2,3,3
"31",2,3,2,3,3
"32",2,3,2,3,3
"33",2,3,2,3,3
"34",2,2,2,3,4
"35",1,2,4,4,6
"36",1,1,1,1,1
"37",1,1,1,1,1
"38",2,3,2,5,5
"39",2,3,2,3,3
"40",2,3,2,3,3
"41",2,3,2,3,3
"42",2,3,2,3,3
"43",2,2,4,4,4
"44",2,2,4,5,4
"45",2,3,2,3,5
"46",2,3,2,3,4
"47",2,3,2,3,5
"48",2,3,2,3,3
"49",2,2,2,3,4
"50",1,2,4,4,4
"51",1,1,1,1,6
"52",1,1,1,1,1
"53",1,1,1,1,1
"54",1,1,1,1,1
"55",2,2,2,5,5
"56",2,2,2,3,3
"57",2,2,2,3,4
"58",2,2,4,4,6
"59",2,2,4,4,6
"60",2,2,4,5,4
"61",2,2,4,3,5
"62",2,2,2,3,3
"63",2,2,4,3,4
"64",2,2,4,4,6
"65",2,2,4,5,6
"66",2,3,3,2,2
"67",2,3,3,2,2
"68",2,3,2,3,3
"69",2,2,2,3,4
"70",2,2,2,3,4
"71",2,2,4,3,4
"72",1,2,4,4,6
"73",1,2,4,4,6
"74",1,1,1,1,6
"75",1,1,1,1,6
"76",1,1,1,1,1
"77",1,1,1,1,1
"78",1,1,1,1,1
"79",1,1,1,1,1
"80",1,1,1,1,1
"81",1,2,4,5,6
"82",1,2,4,4,6
"83",1,1,4,1,6
"84",1,1,1,1,1
"85",1,2,2,5,4
"86",1,1,4,4,6
"87",1,1,4,1,6
"88",1,1,4,1,6
"89",2,2,4,5,4
"90",2,3,2,3,5
"91",2,3,2,3,3
"92",2,3,2,3,5
"93",2,3,3,2,2
"94",2,3,3,2,2
"95",2,3,3,2,2
"96",2,3,3,2,2
"97",2,3,3,2,3
"98",2,3,3,2,3
"99",2,3,3,2,3
"100",2,3,2,3,3
"101",2,2,4,4,4
"102",2,2,4,5,4
"103",2,3,2,3,5
"104",2,3,2,3,3
"105",2,3,2,3,3
"106",2,3,2,3,3
"107",2,2,4,3,4
"108",1,1,1,4,6
"109",1,1,1,1,1
"110",1,1,1,1,1
"111",1,1,1,1,1
"112",1,1,1,1,1
"113",1,1,1,1,1
"114",1,1,1,1,1
"115",1,2,4,5,6
"116",1,2,4,4,6
"117",1,2,4,5,6
"118",2,3,2,3,5
"119",2,3,2,3,3
"120",2,3,2,3,3
"121",1,2,4,4,6
"122",1,1,1,1,1
"123",1,1,1,1,1
"124",2,3,3,2,2
"125",2,3,2,3,3
"126",2,2,4,4,4
"127",2,2,4,5,5
"128",2,3,3,2,2
"129",2,3,3,2,2
"130",2,3,3,2,2
"131",2,3,2,3,3
"132",2,3,2,3,3
"133",2,3,2,3,4
"134",2,3,2,3,5
"135",2,3,3,2,2
"136",2,3,3,2,2
"137",2,3,3,2,2
"138",2,3,2,3,3
"139",2,3,2,3,3
"140",2,3,2,3,3
