"","states2","states3","states4","states5","states6","states7","states8"
"1",1,1,1,1,1,1,6
"2",1,1,1,1,1,1,6
"3",1,1,1,1,1,1,6
"4",1,2,4,5,6,7,4
"5",1,2,4,3,5,2,7
"6",1,2,4,3,3,6,7
"7",1,2,4,3,5,2,7
"8",1,2,4,4,3,6,7
"9",1,1,1,1,6,7,8
"10",1,1,1,1,1,1,6
"11",1,1,1,1,1,1,6
"12",1,1,1,1,1,7,6
"13",1,2,4,5,6,7,4
"14",2,3,3,2,2,3,3
"15",2,3,3,2,2,4,2
"16",2,2,2,3,3,6,7
"17",2,2,2,3,5,2,7
"18",2,2,2,3,3,2,7
"19",2,2,2,3,5,5,5
"20",2,2,2,3,3,2,7
"21",2,2,2,3,5,5,5
"22",2,3,2,3,4,5,5
"23",2,3,2,3,4,5,5
"24",2,2,2,3,3,6,7
"25",2,2,4,4,6,7,8
"26",2,2,4,5,5,2,4
"27",2,2,2,3,3,5,5
"28",2,2,4,3,5,2,7
"29",2,3,2,3,4,5,5
"30",2,3,2,3,4,3,3
"31",2,3,2,3,4,5,5
"32",2,3,2,3,4,5,5
"33",2,3,2,3,4,5,5
"34",2,2,2,3,3,6,7
"35",1,2,4,4,6,7,8
"36",1,1,1,1,1,1,6
"37",1,1,1,1,1,1,6
"38",2,3,2,5,4,5,5
"39",2,3,2,3,4,3,3
"40",2,3,2,3,4,3,3
"41",2,3,2,3,4,5,5
"42",2,3,2,3,4,5,5
"43",2,2,4,4,3,6,7
"44",2,2,4,5,5,2,7
"45",2,3,2,3,4,5,5
"46",2,3,2,3,3,2,7
"47",2,3,2,3,5,5,5
"48",2,3,2,3,4,3,3
"49",2,2,2,3,3,5,7
"50",1,2,4,4,6,6,8
"51",1,1,1,1,6,7,6
"52",1,1,1,1,1,1,1
"53",1,1,1,1,1,1,1
"54",1,1,1,1,1,1,4
"55",2,2,2,5,5,5,5
"56",2,2,2,3,4,5,5
"57",2,2,2,3,3,5,5
"58",2,2,4,4,6,6,7
"59",2,2,4,4,6,7,8
"60",2,2,4,5,6,7,4
"61",2,2,4,3,5,2,7
"62",2,2,2,3,4,5,5
"63",2,2,4,3,3,6,7
"64",2,2,4,4,6,7,8
"65",2,2,4,5,5,2,4
"66",2,3,3,2,4,3,3
"67",2,3,3,2,4,3,3
"68",2,3,2,3,4,5,5
"69",2,2,2,3,4,5,5
"70",2,2,2,3,4,5,5
"71",2,2,4,3,3,6,7
"72",1,2,4,4,6,7,8
"73",1,2,4,4,6,7,8
"74",1,1,1,1,6,7,6
"75",1,1,1,1,6,7,6
"76",1,1,1,1,1,1,6
"77",1,1,1,1,1,1,1
"78",1,1,1,1,1,1,1
"79",1,1,1,1,1,1,1
"80",1,1,1,1,1,7,6
"81",1,2,4,5,6,7,4
"82",1,2,4,4,6,7,8
"83",1,1,4,1,6,7,8
"84",1,1,1,1,1,1,6
"85",1,2,2,5,6,5,4
"86",1,1,4,4,6,6,8
"87",1,1,4,1,6,7,6
"88",1,1,4,1,6,7,4
"89",2,2,4,5,5,2,7
"90",2,3,2,3,4,5,5
"91",2,3,2,3,4,5,5
"92",2,3,2,3,4,5,5
"93",2,3,3,2,4,3,3
"94",2,3,3,2,4,3,3
"95",2,3,3,2,4,3,3
"96",2,3,3,2,4,3,3
"97",2,3,3,2,4,3,3
"98",2,3,3,2,4,3,3
"99",2,3,3,2,4,3,3
"100",2,3,2,3,4,5,5
"101",2,2,4,4,3,6,7
"102",2,2,4,5,5,2,7
"103",2,3,2,3,4,5,5
"104",2,3,2,3,4,5,5
"105",2,3,2,3,4,5,5
"106",2,3,2,3,4,5,5
"107",2,2,4,3,3,6,7
"108",1,1,1,4,6,7,8
"109",1,1,1,1,1,1,1
"110",1,1,1,1,1,1,1
"111",1,1,1,1,1,1,1
"112",1,1,1,1,1,1,1
"113",1,1,1,1,1,1,1
"114",1,1,1,1,1,1,6
"115",1,2,4,5,5,2,4
"116",1,2,4,4,3,6,8
"117",1,2,4,5,6,7,4
"118",2,3,2,3,4,5,5
"119",2,3,2,3,4,3,3
"120",2,3,2,3,3,5,5
"121",1,2,4,4,6,6,8
"122",1,1,1,1,1,1,6
"123",1,1,1,1,1,1,4
"124",2,3,3,2,2,4,2
"125",2,3,2,3,4,3,3
"126",2,2,4,4,3,6,8
"127",2,2,4,5,5,2,4
"128",2,3,3,2,2,3,3
"129",2,3,3,2,2,3,3
"130",2,3,3,2,2,3,3
"131",2,3,2,3,4,5,5
"132",2,3,2,3,4,5,5
"133",2,3,2,3,3,6,7
"134",2,3,2,3,5,2,7
"135",2,3,3,2,2,3,3
"136",2,3,3,2,2,4,2
"137",2,3,3,2,2,3,3
"138",2,3,2,3,4,5,5
"139",2,3,2,3,4,5,5
"140",2,3,2,3,4,3,3
"141",2,3,2,3,4,5,5
"142",2,2,2,3,4,2,7
"143",2,2,2,3,4,5,5
"144",2,2,2,3,3,5,7
"145",2,2,4,3,6,6,7
"146",1,2,4,4,6,7,8
"147",1,2,4,5,6,7,4
"148",2,2,2,3,4,5,5
"149",2,2,2,3,3,6,7
"150",1,2,4,4,6,7,8
"151",1,1,1,1,1,1,6
"152",1,1,1,1,1,1,6
"153",1,2,4,5,5,2,4
"154",1,2,4,3,3,6,7
"155",1,2,4,4,6,7,8
"156",1,2,4,5,6,2,4
"157",2,2,2,3,5,5,5
"158",2,2,2,3,3,5,7
"159",2,2,4,4,6,6,8
"160",2,2,4,5,6,7,4
"161",2,2,4,3,5,2,7
"162",2,2,4,4,3,6,7
"163",1,1,1,1,6,7,8
"164",1,1,1,1,1,1,6
"165",1,1,1,1,1,1,6
"166",1,1,1,1,1,1,6
"167",2,3,2,5,5,5,4
"168",2,3,3,2,2,4,2
"169",2,3,3,2,2,4,2
"170",2,3,3,2,2,3,3
"171",2,3,3,2,2,3,3
"172",2,3,3,2,4,3,3
"173",2,3,2,2,4,3,3
"174",2,3,2,3,4,5,5
"175",2,2,2,3,3,6,7
"176",1,2,4,4,6,7,8
"177",1,1,1,1,1,1,6
"178",1,1,1,1,1,1,6
"179",1,2,4,5,6,7,4
"180",1,2,2,3,5,2,7
"181",1,2,2,3,3,6,7
"182",1,2,4,4,6,7,8
"183",1,2,4,5,5,2,4
"184",1,2,4,3,3,6,7
"185",1,2,4,4,6,7,8
"186",1,1,1,1,1,1,6
"187",1,1,1,1,1,1,6
"188",1,1,1,1,6,7,6
"189",1,1,1,1,6,7,4
"190",1,1,1,1,6,7,8
"191",1,1,1,1,1,1,1
"192",1,1,1,1,1,1,1
"193",1,1,1,1,1,1,6
"194",1,1,1,1,1,1,6
"195",1,1,1,1,1,1,6
"196",1,1,1,1,1,1,6
"197",1,1,1,1,1,1,1
"198",1,1,1,1,1,1,1
"199",1,1,1,1,1,1,1
