"","states2","states3","states4","states5","states6"
"1",2,2,3,4,1
"2",2,2,3,4,1
"3",1,2,2,3,2
"4",1,2,2,3,2
"5",1,2,2,3,2
"6",1,2,2,3,2
"7",1,2,2,3,2
"8",1,2,2,3,2
"9",1,1,2,2,2
"10",1,1,2,2,2
"11",1,1,2,2,4
"12",1,1,2,2,4
"13",1,1,1,1,4
"14",1,1,1,1,4
"15",1,1,1,1,4
"16",1,1,1,1,4
"17",1,1,1,1,4
"18",1,1,1,2,4
"19",1,1,2,2,4
"20",1,1,2,2,2
"21",1,1,2,2,2
"22",1,1,2,2,2
"23",1,1,2,2,2
"24",1,1,2,2,4
"25",1,1,1,1,4
"26",1,1,1,1,3
"27",1,1,1,1,3
"28",1,1,1,1,3
"29",1,1,1,1,4
"30",1,1,1,2,4
"31",1,1,2,3,2
"32",2,2,3,4,1
"33",2,3,4,5,6
"34",2,3,4,5,6
"35",2,3,4,5,6
"36",2,3,4,5,6
"37",2,3,4,5,6
"38",2,3,4,5,6
"39",2,3,4,5,6
"40",2,3,4,5,6
"41",2,3,4,5,6
"42",2,3,4,5,6
"43",2,3,4,5,6
"44",2,3,4,5,6
"45",2,2,3,4,1
"46",2,2,3,3,5
"47",2,2,3,3,5
"48",2,2,3,3,5
"49",1,2,2,3,2
"50",1,1,2,2,4
"51",1,1,1,1,4
"52",1,1,1,1,3
"53",1,1,1,1,3
"54",1,1,1,1,3
"55",1,1,1,1,3
"56",1,1,1,1,3
"57",1,1,1,1,3
"58",1,1,1,1,3
"59",1,1,1,1,3
"60",1,1,1,1,3
"61",1,1,1,1,3
"62",1,1,1,1,3
"63",1,1,1,1,3
"64",1,1,1,1,4
"65",1,1,2,2,4
"66",1,1,2,2,4
"67",1,1,2,2,4
"68",1,1,2,2,4
"69",1,2,2,3,2
"70",2,2,3,3,5
"71",2,2,3,4,1
"72",2,3,3,4,1
"73",2,3,3,4,1
"74",2,3,3,4,1
"75",2,3,3,4,1
"76",2,3,3,4,1
"77",2,3,3,4,1
"78",2,3,3,4,1
"79",2,3,3,4,1
"80",2,3,4,5,6
"81",2,3,4,5,6
"82",2,3,4,5,6
"83",2,3,4,5,6
"84",2,3,4,5,6
"85",2,3,4,5,6
"86",2,2,3,4,1
"87",2,2,3,4,1
"88",2,2,3,3,5
"89",2,2,2,3,5
"90",2,2,2,3,5
"91",1,1,2,2,2
"92",1,1,2,2,2
"93",1,1,2,2,2
"94",1,1,2,2,2
"95",2,2,3,3,5
"96",2,3,4,4,1
"97",2,3,4,5,6
"98",2,3,4,5,6
"99",2,3,4,5,6
"100",2,3,4,5,6
"101",2,2,3,4,1
"102",2,2,3,3,5
"103",2,2,3,3,5
"104",2,2,3,4,5
"105",2,2,3,4,5
"106",2,2,3,4,5
"107",2,2,3,4,1
"108",2,3,4,4,1
"109",2,3,4,5,6
"110",2,3,4,5,6
"111",2,3,4,5,6
"112",2,3,4,5,6
"113",2,1,2,3,2
"114",1,1,1,1,4
"115",1,1,1,1,3
"116",1,1,1,1,3
"117",1,1,1,1,3
"118",1,1,1,1,3
"119",1,1,1,1,3
"120",1,1,1,1,3
"121",1,1,1,1,4
"122",1,1,1,1,4
"123",1,1,1,2,4
"124",1,1,1,2,4
"125",1,1,1,2,4
"126",1,1,1,1,4
"127",1,1,1,1,4
"128",1,1,1,1,4
"129",1,1,1,1,4
"130",1,1,1,1,4
"131",1,1,1,1,4
"132",1,1,1,2,4
"133",1,1,1,2,4
"134",1,1,1,2,4
"135",1,1,1,2,4
"136",1,1,1,2,4
"137",1,1,1,2,4
"138",1,1,1,2,4
"139",1,1,1,2,4
"140",1,1,2,3,2
"141",2,2,3,4,5
"142",2,3,4,5,1
"143",2,3,4,5,6
"144",2,3,4,5,6
"145",2,3,4,5,6
"146",2,3,4,5,6
"147",2,2,4,4,1
"148",2,2,2,3,5
"149",1,1,2,2,2
"150",1,1,2,2,2
"151",1,1,2,2,4
"152",1,1,1,1,4
"153",1,1,1,1,3
"154",1,1,1,1,3
"155",1,1,1,1,4
"156",1,1,1,2,4
"157",1,1,1,2,4
"158",1,1,1,2,4
"159",1,1,1,2,4
"160",1,1,2,2,2
"161",1,1,2,2,2
"162",1,1,2,2,2
"163",1,2,2,3,2
"164",2,2,3,3,5
"165",2,2,3,4,5
"166",2,2,3,4,5
"167",2,2,3,4,5
"168",2,2,3,4,1
"169",2,2,3,4,1
"170",2,2,3,4,1
"171",2,2,3,3,5
"172",2,2,3,3,5
"173",2,2,2,3,5
"174",1,1,2,2,2
"175",1,1,2,2,2
"176",1,1,2,2,2
"177",1,1,1,1,4
"178",1,1,1,1,4
"179",1,1,1,1,4
"180",1,1,1,2,4
"181",1,1,2,2,2
"182",1,1,2,2,2
"183",1,1,2,2,2
"184",1,2,2,3,5
"185",1,2,2,3,5
"186",1,1,2,2,2
"187",1,1,1,1,3
"188",1,1,1,1,3
"189",1,1,1,1,3
"190",1,1,1,1,3
"191",1,1,1,1,3
"192",1,1,1,1,3
"193",1,1,1,1,3
"194",1,1,1,1,4
"195",1,1,1,2,4
"196",1,1,2,2,2
"197",1,2,2,3,2
"198",2,2,2,3,5
"199",2,2,3,3,5
"200",2,2,3,3,5
"201",2,2,3,3,5
"202",2,2,3,3,5
"203",2,2,3,3,5
"204",2,2,3,3,5
"205",2,2,3,4,1
"206",2,2,3,4,1
"207",2,3,4,5,6
"208",2,3,4,5,6
"209",2,3,4,5,6
"210",2,3,4,5,6
"211",2,3,4,5,6
"212",2,3,4,5,6
"213",2,3,4,5,6
"214",2,3,4,5,6
"215",2,3,4,5,6
"216",2,3,4,5,6
"217",1,1,1,1,4
"218",1,1,1,1,3
"219",1,1,1,1,3
"220",1,1,1,1,3
"221",1,1,1,1,3
"222",1,1,1,2,4
"223",1,1,2,2,2
"224",2,2,3,3,5
"225",2,2,3,3,5
"226",2,2,3,4,1
"227",2,3,4,5,1
"228",2,3,4,5,6
"229",2,3,4,5,6
"230",2,3,4,5,6
"231",2,3,4,5,6
"232",2,3,4,5,6
"233",2,3,4,5,6
"234",2,3,4,5,6
"235",2,2,3,4,1
"236",2,2,3,4,1
"237",2,2,3,3,5
"238",2,2,2,3,2
"239",2,2,2,3,2
"240",2,2,3,3,5
"241",2,2,3,3,5
"242",2,2,3,3,5
"243",2,2,2,3,2
"244",2,2,2,3,2
"245",1,1,2,2,4
"246",1,1,1,2,4
"247",1,1,1,2,4
"248",1,1,1,2,4
"249",1,1,1,2,4
"250",1,1,2,2,4
"251",1,1,2,3,2
"252",2,2,3,4,1
"253",2,3,4,5,6
"254",2,3,4,5,6
"255",2,3,4,5,6
"256",2,3,4,5,6
"257",2,3,4,5,6
"258",2,3,4,5,6
"259",1,1,2,2,2
"260",1,1,1,2,4
"261",1,1,1,2,4
"262",1,1,1,2,4
"263",1,1,1,2,4
"264",1,1,1,2,4
"265",1,1,2,2,2
"266",1,1,2,2,2
"267",1,1,2,2,2
"268",2,2,3,3,5
"269",2,2,3,4,1
"270",2,3,4,4,1
"271",2,3,4,5,1
"272",2,3,4,5,6
"273",2,3,4,5,6
"274",2,3,4,5,6
"275",2,3,4,5,6
"276",2,3,4,5,6
"277",2,3,4,5,6
"278",2,3,4,5,6
"279",2,2,3,3,5
"280",2,2,3,3,5
"281",2,2,2,3,5
"282",2,2,2,3,5
"283",2,2,3,3,5
"284",2,3,4,4,1
"285",2,3,4,5,6
"286",2,3,4,5,6
"287",2,3,4,5,6
"288",2,3,4,5,6
"289",2,3,4,5,6
"290",2,3,4,5,6
"291",2,3,4,5,6
"292",2,2,3,3,5
"293",2,2,3,3,5
"294",2,2,3,3,5
"295",2,2,3,3,5
"296",2,2,3,4,1
"297",2,3,4,5,6
"298",2,3,4,5,6
"299",2,3,4,5,6
"300",2,3,4,5,6
"301",2,3,4,5,6
"302",2,3,4,5,6
"303",2,3,4,5,6
"304",2,3,4,5,6
"305",2,3,4,5,6
"306",2,3,4,5,6
"307",2,3,4,5,6
"308",2,3,4,5,6
"309",2,3,4,5,6
"310",2,3,4,5,6
"311",2,3,4,5,6
"312",2,3,4,5,6
"313",2,3,4,5,6
"314",2,3,4,5,6
"315",2,3,4,5,6
"316",2,3,4,5,6
"317",2,3,4,5,6
"318",2,3,3,4,1
"319",2,2,3,4,1
"320",2,2,3,4,1
"321",2,2,3,4,1
"322",2,2,3,4,1
"323",2,2,3,4,1
"324",2,2,3,4,1
"325",2,2,3,4,1
"326",2,2,3,4,1
"327",2,2,3,4,1
"328",2,3,3,4,1
"329",2,3,4,5,1
"330",2,3,4,5,6
"331",2,3,4,5,6
"332",2,3,4,5,6
"333",2,3,4,5,6
"334",2,3,4,5,6
"335",2,3,4,5,6
"336",2,1,2,3,2
"337",1,1,1,1,3
