"","states5"
"1",4
"2",4
"3",3
"4",3
"5",3
"6",3
"7",3
"8",3
"9",2
"10",2
"11",2
"12",2
"13",1
"14",1
"15",1
"16",1
"17",1
"18",2
"19",2
"20",2
"21",2
"22",2
"23",2
"24",2
"25",1
"26",1
"27",1
"28",1
"29",1
"30",2
"31",3
"32",4
"33",5
"34",5
"35",5
"36",5
"37",5
"38",5
"39",5
"40",5
"41",5
"42",5
"43",5
"44",5
"45",4
"46",3
"47",3
"48",3
"49",3
"50",2
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",2
"66",2
"67",2
"68",2
"69",3
"70",3
"71",4
"72",4
"73",4
"74",4
"75",4
"76",4
"77",4
"78",4
"79",4
"80",5
"81",5
"82",5
"83",5
"84",5
"85",5
"86",4
"87",4
"88",3
"89",3
"90",3
"91",2
"92",2
"93",2
"94",2
"95",3
"96",4
"97",5
"98",5
"99",5
"100",5
"101",4
"102",3
"103",3
"104",4
"105",4
"106",4
"107",4
"108",4
"109",5
"110",5
"111",5
"112",5
"113",3
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",1
"123",2
"124",2
"125",2
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",2
"133",2
"134",2
"135",2
"136",2
"137",2
"138",2
"139",2
"140",3
"141",4
"142",5
"143",5
"144",5
"145",5
"146",5
"147",4
"148",3
"149",2
"150",2
"151",2
"152",1
"153",1
"154",1
"155",1
"156",2
"157",2
"158",2
"159",2
"160",2
"161",2
"162",2
"163",3
"164",3
"165",4
"166",4
"167",4
"168",4
"169",4
"170",4
"171",3
"172",3
"173",3
"174",2
"175",2
"176",2
"177",1
"178",1
"179",1
"180",2
"181",2
"182",2
"183",2
"184",3
"185",3
"186",2
"187",1
"188",1
"189",1
"190",1
"191",1
"192",1
"193",1
"194",1
"195",2
"196",2
"197",3
"198",3
"199",3
"200",3
"201",3
"202",3
"203",3
"204",3
"205",4
"206",4
"207",5
"208",5
"209",5
"210",5
"211",5
"212",5
"213",5
"214",5
"215",5
"216",5
"217",1
"218",1
"219",1
"220",1
"221",1
"222",2
"223",2
"224",3
"225",3
"226",4
"227",5
"228",5
"229",5
"230",5
"231",5
"232",5
"233",5
"234",5
"235",4
"236",4
"237",3
"238",3
"239",3
"240",3
"241",3
"242",3
"243",3
"244",3
"245",2
"246",2
"247",2
"248",2
"249",2
"250",2
"251",3
"252",4
"253",5
"254",5
"255",5
"256",5
"257",5
"258",5
"259",2
"260",2
"261",2
"262",2
"263",2
"264",2
"265",2
"266",2
"267",2
"268",3
"269",4
"270",4
"271",5
"272",5
"273",5
"274",5
"275",5
"276",5
"277",5
"278",5
"279",3
"280",3
"281",3
"282",3
"283",3
"284",4
"285",5
"286",5
"287",5
"288",5
"289",5
"290",5
"291",5
"292",3
"293",3
"294",3
"295",3
"296",4
"297",5
"298",5
